"date","Home","Away","HomeScore","AwayScore","Over_under_Mirage","Spread_Mirage","HomeML_Mirage","AwayML_Mirage","HomeSpreadOdds_Mirage","AwaySpreadOdds_Mirage","OverOdds_Mirage","UnderOdds_Mirage","Over_under_Pinnacle","Spread_Pinnacle","HomeML_Pinnacle","AwayML_Pinnacle","HomeSpreadOdds_Pinnacle","AwaySpreadOdds_Pinnacle","OverOdds_Pinnacle","UnderOdds_Pinnacle","Over_under_Sportsbet","Spread_Sportsbet","HomeML_Sportsbet","AwayML_Sportsbet","HomeSpreadOdds_Sportsbet","AwaySpreadOdds_Sportsbet","OverOdds_Sportsbet","UnderOdds_Sportsbet","Over_under_Westgate","Spread_Westgate","HomeML_Westgate","AwayML_Westgate","HomeSpreadOdds_Westgate","AwaySpreadOdds_Westgate","OverOdds_Westgate","UnderOdds_Westgate","Over_under_Station","Spread_Station","HomeML_Station","AwayML_Station","HomeSpreadOdds_Station","AwaySpreadOdds_Station","OverOdds_Station","UnderOdds_Station","Over_under_SIA","Spread_SIA","HomeML_SIA","AwayML_SIA","HomeSpreadOdds_SIA","AwaySpreadOdds_SIA","OverOdds_SIA","UnderOdds_SIA","Over_under_SBG","Spread_SBG","HomeML_SBG","AwayML_SBG","HomeSpreadOdds_SBG","AwaySpreadOdds_SBG","OverOdds_SBG","UnderOdds_SBG","Over_under_BetUS","Spread_BetUS","HomeML_BetUS","AwayML_BetUS","HomeSpreadOdds_BetUS","AwaySpreadOdds_BetUS","OverOdds_BetUS","UnderOdds_BetUS"
"2012-09-09","ARI","SEA","20","16","41","3","120","-140","-120","100","-110","-110","40.5","1","122","-135","118","-128","-108","-102","41","2.5","123","-137","-102","-112","-107","-107","41","2.5","125","-145","100","-120","-110","-110","41","3","130","-150","-120","100","-110","-110","41","3","130","-150","-110","-110","-110","-110","41","2.5","120","-140","-105","-115","-110","-110","41","3","135","-155","-115","-105","-110","-110"
"2012-09-23","ARI","PHI","27","6","42.5","3.5","155","-175","-120","100","-110","-110","42.5","3","159","-177","115","-125","-108","-102","42.5","3","164","-181","113","-127","-107","-107","42","3","160","-180","100","-120","-110","-110","42","3.5","165","-190","-110","-110","-110","-110","42.5","3","160","-190","115","-135","-110","-110","42","3","155","-175","105","-125","-110","-110","42.5","3.5","160","-190","-110","-110","-110","-110"
"2012-09-30","ARI","MIA","24","21","40","-4.5","-230","190","-110","-110","-110","-110","38.5","-4","-208","186","-106","-102","-107","-103","39","-4","-205","180","-107","-107","-107","-107","39","0","-160","140","-160","140","-110","-110","40","-5","-240","190","-110","-110","-110","-110","39","-5","-220","180","-115","-105","-110","-110","39","-4","-230","190","-110","-110","-110","-110","38.5","-4","-210","170","-110","-110","-110","-110"
"2012-10-14","ARI","BUF","16","19","44","-4.5","-225","185","-110","-110","-110","-110","44","-5","-235","210","-108","100","-103","-107","44","-5","-239","211","-107","-107","-107","-107","44.5","0","-140","120","-140","120","-110","-110","44","-5","-220","180","-110","-110","-110","-110","44.5","-5","-255","205","-110","-110","-110","-110","44.5","-5.5","-250","210","-110","-110","-110","-110","44","-5.5","-260","220","-110","-110","-110","-110"
"2012-10-29","ARI","SFO","3","24","38","7","270","-330","-110","-110","-110","-110","37.5","7","285","-325","-105","-103","102","-113","37.5","8.5","294","-336","-132","118","-107","-107","38","7","290","-350","-110","-110","-110","-110","38","7","250","-330","-110","-110","-110","-110","37.5","7.5","285","-365","-115","-105","-110","-110","37.5","7","280","-340","-110","-110","-110","-110","37","7","290","-350","-110","-110","-110","-110"
"2012-11-25","ARI","STL","17","31","36","-1.5","-140","120","-110","-110","-110","-110","36","-1","-116","105","-109","101","102","-113","35.5","0","-122","108","-122","108","-107","-107","36","-1","-120","100","-110","-110","-110","-110","36.5","-1","-115","-105","-110","-110","-110","-110","36","-1.5","-125","105","-110","-110","-110","-110","36","-1","-120","100","-110","-110","-110","-110","36","-1","-135","115","-110","-110","-110","-110"
"2012-12-16","ARI","DET","38","10","44","6","240","-280","-110","-110","-110","-110","43.5","5.5","200","-224","-113","104","100","-110","43.5","5.5","201","-229","-107","-107","-107","-107","43.5","5.5","210","-250","-110","-110","-110","-110","43.5","6","220","-300","-110","-110","-110","-110","44","7","265","-325","-105","-115","-110","-110","43.5","6.5","225","-265","-110","-110","-110","-110","43","5.5","200","-240","-110","-110","-110","-110"
"2012-12-23","ARI","CHI","13","28","36.5","7","235","-275","-120","100","-110","-110","35.5","7","256","-290","-113","104","-112","102","35.5","7.5","252","-283","-132","118","-107","-107","35.5","7","270","-330","-120","100","-110","-110","36.5","7","210","-270","-110","-110","-110","-110","36.5","7","260","-320","105","-125","-110","-110","35.5","7","250","-300","-115","-105","-110","-110","35.5","7","240","-290","-115","-105","-110","-110"
"2013-09-15","ARI","DET","25","21","47.5","2.5","110","-130","-110","-110","-110","-110","47.5","1","-101","-109","-108","-102","-107","-103","47.5","0","103","-117","103","-117","-107","-107","48","2","105","-125","-110","-110","-110","-110","48","1.5","105","-125","-110","-110","-110","-110","48.5","1","-105","-115","-110","-110","-110","-110","47","1","105","-125","-110","-110","-110","-110","0","1","105","-125","-110","-110","-110","-110"
"2013-10-06","ARI","CAR","22","6","41.5","3","140","-160","-110","-110","-110","-110","41","3","151","-167","102","-113","-105","-105","41.5","3","153","-167","103","-117","-107","-107","41.5","3","140","-160","-110","-110","-110","-110","42.5","3","135","-155","-110","-110","-110","-110","41.5","3","135","-160","-105","-115","-110","-110","42","2.5","135","-155","105","-125","-110","-110","41.5","3","145","-165","-105","-115","-110","-110"
