Date,abbrev,abbrev,offense_score,defense_score,quarter,time,down,goal_distance,down_distance,yards_gained,game_id,play_type,no_play,runner,receiver,sacked_qb,passer,penalty,home_on_offense,fumbled,intercepted
10/15/2017,ARI,TAM,0,0,1,15:00:00,1,75,10,8,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,0,0,1,14:24:00,2,67,2,3,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,0,0,1,13:43:00,1,64,10,8,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,0,0,1,13:07:00,2,56,2,11,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,0,0,1,12:33:00,1,45,10,18,201710150crd,pass,0,,GresJe00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,6,0,1,12:00:00,1,27,10,27,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,7,0,1,9:02:00,1,86,10,-1,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,7,0,1,8:23:00,2,87,11,6,201710150crd,pass,0,,NiklTr00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,7,0,1,7:45:00,3,81,5,29,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,7,0,1,7:04:00,1,52,10,15,201710150crd,pass,0,,BrowJo02,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,7,0,1,6:39:00,1,37,10,6,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,7,0,1,5:59:00,2,31,4,17,201710150crd,run,0,PeteAd01,,,,,1,0,0
10/15/2017,ARI,TAM,13,0,1,5:29:00,1,14,10,14,201710150crd,pass,0,,NiklTr00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,14,0,1,1:08:00,1,95,10,9,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,14,0,1,0:32:00,2,86,1,11,201710150crd,run,0,WillKe05,,,,,1,0,0
10/15/2017,ARI,TAM,14,0,2,15:00:00,1,75,10,4,201710150crd,run,0,WillKe05,,,,,1,0,0
10/15/2017,ARI,TAM,14,0,2,14:19:00,2,71,6,-1,201710150crd,run,0,WillKe05,,,,,1,0,0
10/15/2017,ARI,TAM,14,0,2,13:41:00,3,72,7,0,201710150crd,pass,1,,ElliAn00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,14,0,2,13:37:00,3,67,2,30,201710150crd,pass,0,,BrowJa03,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,14,0,2,12:53:00,1,37,10,26,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,20,0,2,12:09:00,1,11,10,11,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
10/15/2017,ARI,TAM,21,0,2,11:33:00,1,70,10,13,201710150crd,pass,0,,FitzLa00,,PalmCa00,,1,0,0
