Season,Start,Week,Away,Home,APts,HPts,OverUnder,VegasLine,AFD,AFum,AFumL,APY,APA,API,HPS,HPSY,ARA,ARY,HFD,HFum,HFumL,HPY,HPA,HPI,HPS,HPSY,HRA,HRY
2016,2016-09-08 20:40:00,1,CAR,DEN,20,21,40.5,3.0,21,0,0,176,33,1,3,18,32,157,21,1,1,159,26,2,2,19,29,148
2016,2016-09-11 13:04:00,1,GNB,JAX,27,23,47.0,3.5,18,1,0,199,34,0,1,0,25,95,20,1,0,300,39,1,3,20,26,48
2016,2016-09-11 13:05:00,1,SDG,KAN,27,33,45.5,-6.5,25,0,0,233,36,0,1,10,32,155,26,0,0,330,48,1,3,33,19,83
2016,2016-09-11 13:05:00,1,CHI,HOU,14,23,43.0,-5.5,14,2,0,185,29,1,5,31,20,73,17,1,0,215,35,1,2,16,35,129
2016,2016-09-11 13:05:00,1,TAM,ATL,31,24,46.5,-2.5,20,0,0,281,32,1,0,0,28,90,19,0,0,322,39,0,3,12,22,52
2016,2016-09-11 13:05:00,1,CIN,NYJ,23,22,42.0,-1.0,18,0,0,324,30,1,7,42,19,57,22,1,0,188,35,1,1,1,30,152
2016,2016-09-11 16:27:00,1,DET,IND,39,35,51.0,-2.5,28,0,0,332,39,0,1,8,24,116,25,0,0,368,47,0,2,17,19,82
2016,2016-09-11 13:05:00,1,MIN,TEN,25,16,40.0,2.5,15,0,0,236,33,0,0,0,28,65,19,2,2,252,41,1,2,19,22,64
2016,2016-09-11 13:05:00,1,OAK,NOR,35,34,50.0,-2.5,25,1,0,319,38,0,0,0,26,167,27,2,1,419,42,0,1,4,22,88
2016,2016-09-11 16:27:00,1,NYG,DAL,20,19,47.5,-1.0,18,1,0,203,28,1,2,4,24,113,24,0,0,227,45,0,0,0,30,101
2016,2016-09-11 13:04:00,1,BUF,BAL,7,13,44.5,-3.0,11,0,0,95,22,0,2,16,24,65,18,1,1,225,33,0,4,33,28,83
2016,2016-09-11 13:05:00,1,CLE,PHI,10,29,41.5,-4.0,14,2,0,168,26,1,3,22,21,120,23,2,0,270,37,0,2,8,34,133
2016,2016-09-11 20:30:00,1,NWE,ARI,23,21,44.5,-9.0,19,3,2,257,33,0,2,7,31,106,21,1,0,252,37,0,3,19,19,92
2016,2016-09-11 16:08:00,1,MIA,SEA,10,12,43.5,-10.5,11,2,0,150,29,0,5,36,20,64,21,1,1,240,43,1,3,18,32,112
2016,2016-09-12 19:11:00,1,PIT,WAS,38,16,49.0,2.5,23,2,0,290,37,1,1,10,30,147,18,1,0,329,43,2,0,0,12,55
2016,2016-09-12 22:20:00,1,LAR,SFO,0,28,43.0,2.5,10,0,0,120,35,2,2,10,23,65,28,2,1,170,35,0,0,0,42,150
2016,2016-09-15 20:26:00,2,NYJ,BUF,37,31,40.5,-1.0,28,2,1,370,34,0,1,4,36,123,16,1,0,307,31,1,0,0,19,86
2016,2016-09-18 13:03:00,2,DAL,WAS,27,23,47.0,-3.5,24,2,1,278,30,0,4,14,30,102,24,0,0,350,46,1,2,14,17,82
2016,2016-09-18 16:25:00,2,JAX,SDG,14,38,47.5,-3.0,20,1,1,319,50,2,2,10,11,69,25,1,1,207,25,0,3,13,35,150
2016,2016-09-18 16:25:00,2,ATL,OAK,35,28,47.5,-4.0,27,0,0,389,34,1,1,7,29,139,29,1,0,299,45,0,1,0,25,155
2016,2016-09-18 13:02:00,2,MIA,NWE,24,31,42.0,-5.5,23,3,2,387,45,2,0,0,16,70,29,3,1,302,35,0,2,22,38,161
2016,2016-09-18 13:02:00,2,KAN,HOU,12,19,41.5,1.0,14,3,3,172,37,0,4,14,19,119,15,0,0,254,33,2,2,14,34,97
2016,2016-09-18 13:03:00,2,NOR,NYG,13,16,54.0,-3.5,16,0,0,247,44,0,2,16,13,41,22,3,3,353,41,0,2,15,32,64
2016,2016-09-18 13:02:00,2,BAL,CLE,25,20,42.0,4.0,22,0,0,302,45,2,0,0,26,80,17,3,0,242,33,2,3,18,23,145
2016,2016-09-18 20:32:00,2,GNB,MIN,14,17,43.0,1.5,20,4,2,180,36,1,5,33,23,83,15,2,1,254,31,0,4,32,22,30
2016,2016-09-18 13:03:00,2,SFO,CAR,27,46,44.5,-12.0,16,1,1,237,36,2,2,6,26,65,26,3,3,353,40,1,1,0,37,176
2016,2016-09-18 13:02:00,2,TEN,DET,16,15,48.0,-6.0,22,1,0,224,33,1,3,14,24,139,22,0,0,238,40,1,4,22,23,137
