Date,Team,Acquired,Relinquished,Notes
2009-02-11, Giants,  Plaxico Burress, , reinstated from suspension
2009-04-09, Bills, ,  Marshawn Lynch, suspended by NFL for 3 games for violation of personal conduct policy
2009-06-15, Cardinals, ,  Ben Patrick, suspended by NFL for 4 games for violation of the league's substance abuse policy
2009-06-18, Browns, , Donte' Stallworth / Donte Stallworth, suspended by NFL indefinitely
2009-07-02, Jets, ,  Calvin Pace, suspended by NFL for 4 games for violation of the league's policy on performing enhancing substances
2009-07-07, Giants, ,  Michael Boley, suspended by NFL for 1 game for violation of the league's personal conduct policy
2009-07-15, , ,  Jimmy Williams (c), suspended by NFL for at least 1 year for violation of the league's substance abuse policy
2009-07-27, ,  Michael Vick / Mike Vick, , conditionally reinstated from suspension by NFL
2009-07-31, Buccaneers, ,  Arron Sears, placed on did not report list
2009-08-02, Dolphins, ,  Jared Bronson, placed on did not report list
2009-08-03, Saints, ,  Charles Grant (b), suspended by NFL for 4 games for violation of substance abuse policy
2009-08-03, Saints, ,  Will Smith (a), suspended by NFL for 4 games for violation of substance abuse policy
2009-08-13, Browns, ,  Donte' Stallworth / Donte Stallworth, suspended by NFL for 2009 season
2009-08-17, Jets, ,  Shaun Ellis, suspended by NFL for 1 game for violation of the league's substance abuse policy
2009-08-17, Saints, ,  Garrett Hartley, suspended by NFL for 4 games for violation of the league's banned substances policy
2009-08-18, Buccaneers, ,  Tanard Jackson, suspended by NFL for 4 games for violation of league's substance abuse policy
2009-08-20, , ,  Plaxico Burress, suspended by NFL indefinitely until jail term in completed
2009-08-21, Panthers, ,  Mike Goodson," fined $7,500 by NFL"
2009-08-28, Broncos, ,  Brandon Marshall (a), suspended by team for remainder of preseason
2009-09-01, Broncos, ,  Brandon Marshall (a), placed on suspended list
2009-09-05, Buccaneers, ,  Arron Sears, placed on did-not-report list
2009-09-05, Colts, ,  Ed Johnson (b), suspended by team for 1 game for violating the team conduct policy
2009-09-05, Seahawks, ,  Marcus Trufant, placed on did not report list
2009-09-08, Broncos,  Brandon Marshall (a), , reinstated from suspension
2009-09-10, , ,  Shaun Smith, suspended by NFL for 4 games for violating the league's anabolic steroid policy
2009-09-14, Colts,  Ed Johnson (b), , reinstated from suspension
2009-09-14, Giants,  Michael Boley, , reinstated from suspension
2009-09-14, Jets,  Shaun Ellis, , reinstated from suspension
2009-09-22, Eagles,  Michael Vick / Mike Vick, , reinstated from suspension
2009-09-29, Bills,  Marshawn Lynch, , reinstated from suspension
2009-09-29, Rams, ,  David Vobora, suspended by NFL for 4 games for violating the league policy on banned substances
2009-09-30, Cowboys, ,  Felix Jones," fined $5,000 by NFL"
2009-09-30, Cowboys, ,  Flozell Adams," fined $7,500 by NFL"
2009-10-06, ,  Shaun Smith, , reinstated from suspension
2009-10-06, Buccaneers,  Tanard Jackson, , reinstated from suspension
2009-10-07, Jets, ,  Mark Sanchez," fined $5,000 by NFL"
2009-10-07, Jets,  Calvin Pace, , reinstated from suspension
2009-10-07, Saints,  Garrett Hartley, , reinstated from suspension
2009-10-13, Cardinals,  Ben Patrick, , reinstated from suspension
2009-10-15, Titans, ,  Kyle Vanden Bosch," fined $5,000 by NFL"
2009-10-16, Ravens, ,  Ray Lewis (b), fined $25K by NFL
