Date,Team,Acquired,Relinquished,Notes
2009-01-07, Eagles, ,  Mike McGlynn, placed on IR with hamstring injury
2009-01-13, Cardinals, ,  Stephen Spach, placed on IR with torn ACL in right knee
2009-02-09, 49ers,  Alex Smith (D.), , activated from IR
2009-02-09, 49ers,  Arnaz Battle, , activated from IR
2009-02-09, 49ers,  Damane Duckett, , activated from IR
2009-02-09, 49ers,  Jay Moore, , activated from IR
2009-02-09, 49ers,  Jonas Jennings, , activated from IR
2009-02-09, 49ers,  Shawntae Spencer, , activated from IR
2009-02-09, 49ers, Zak Keasey, , activated from IR
2009-02-09, Bears,  Brandon McGowan, , activated from IR
2009-02-09, Bears,  Darrell McClover, , activated from IR
2009-02-09, Bears,  Dusty Dvoracek, , activated from IR
2009-02-09, Bears,  Fred Miller (b), , activated from IR
2009-02-09, Bears,  Garrett Wolfe, , activated from IR
2009-02-09, Bears,  Mike Brown (c), , activated from IR
2009-02-09, Bears,  Nathan Vasher, , activated from IR
2009-02-09, Bears,  Zackary Bowman / Zack Bowman, , activated from IR
2009-02-09, Bengals,  Abdul Hodge, , activated from IR
2009-02-09, Bengals,  Andrew Whitworth, , activated from IR
2009-02-09, Bengals,  Antonio Chatman, , activated from IR
2009-02-09, Bengals,  Corey Lynch, , activated from IR
2009-02-09, Bengals,  Dan Santucci, , activated from IR
2009-02-09, Bengals,  DeDe Dorsey, , activated from IR
2009-02-09, Bengals,  Dexter Jackson (L.), , activated from IR
2009-02-09, Bengals,  Eric Henderson, , activated from IR
2009-02-09, Bengals,  Frostee Rucker, , activated from IR
2009-02-09, Bengals,  Johnathan Joseph, , activated from IR
2009-02-09, Bengals,  Keith Rivers, , activated from IR
2009-02-09, Bengals,  Kirk Barton, , activated from IR
2009-02-09, Bengals,  Kyle Cook, , activated from IR
2009-02-09, Bengals,  Marvin White, , activated from IR
2009-02-09, Bengals,  Matt Sherry, , activated from IR
2009-02-09, Bengals,  Robert Geathers (b), , activated from IR
2009-02-09, Bengals,  Scott Kooistra, , activated from IR
2009-02-09, Bills,  Angelo Crowell, , activated from IR
2009-02-09, Bills,  Ashton Youboty, , activated from IR
2009-02-09, Bills,  Chris Ellis, , activated from IR
2009-02-09, Bills,  James Hardy (b), , activated from IR
2009-02-09, Bills,  John DiGiorgio, , activated from IR
2009-02-09, Bills,  John McCargo, , activated from IR
2009-02-09, Bills,  Marcus Buggs, , activated from IR
2009-02-09, Bills, Aaron Schobel, , activated from IR
2009-02-09, Broncos,  Andre Hall (a), , activated from IR
2009-02-09, Broncos,  Anthony Alridge, , activated from IR
2009-02-09, Broncos,  Boss Bailey, , activated from IR
2009-02-09, Broncos,  Carlton Powell, , activated from physically unable to perform list
2009-02-09, Broncos,  Clifford Russell / Cliff Russell, , activated from IR
2009-02-09, Broncos,  Edell Shepherd, , activated from IR
2009-02-09, Broncos,  Erik Pears, , activated from IR
2009-02-09, Broncos,  Josh Shaw (a), , activated from IR
2009-02-09, Broncos,  Michael Pittman, , activated from IR
2009-02-09, Broncos,  Nate Jackson (Ross), , activated from IR
2009-02-09, Broncos,  P.J. Pope, , activated from IR
2009-02-09, Broncos,  Patrick Ramsey, , activated from IR
2009-02-09, Broncos,  Peyton Hillis, , activated from IR
2009-02-09, Broncos,  Ryan Torain, , activated from IR
2009-02-09, Broncos,  Selvin Young, , activated from IR
2009-02-09, Broncos, Tom Nalen, , activated from IR
2009-02-09, Browns,  Brady Quinn, , activated from IR
2009-02-09, Browns,  Daven Holly, , activated from IR
2009-02-09, Browns,  Derek Anderson, , activated from IR
2009-02-09, Browns,  James Bell / Beau Bell, , activated from IR
2009-02-09, Browns,  Jason Wright, , activated from IR
2009-02-09, Browns,  Joe Jurevicius, , activated from physically unable to perform list
2009-02-09, Browns,  Kevin Kasper, , activated from IR
2009-02-09, Browns,  Lennie Friedman, , activated from IR
2009-02-09, Browns,  Robaire Smith, , activated from IR
2009-02-09, Browns,  Ryan Tucker, , activated from IR
2009-02-09, Browns,  Steve Heiden, , activated from IR
2009-02-09, Buccaneers,  Byron Storer, , activated from IR
2009-02-09, Buccaneers,  Cortez Hankton, , activated from IR
2009-02-09, Buccaneers,  Earnest Graham, , activated from IR
2009-02-09, Buccaneers,  Geno Hayes, , activated from IR
2009-02-09, Buccaneers,  Jermaine Phillips, , activated from IR
2009-02-09, Buccaneers,  Maurice Stovall, , activated from IR
2009-02-09, Buccaneers,  Torrie Cox, , activated from IR
2009-02-09, Cardinals,  Ali Highsmith, , activated from IR
2009-02-09, Cardinals,  Clark Haggans, , activated from IR
2009-02-09, Cardinals,  Scott Peters, , activated from IR
2009-02-09, Cardinals,  Stephen Spach, , activated from IR
2009-02-09, Chargers,  Craig Davis / Buster Davis (b), , activated from IR
2009-02-09, Chargers,  Scott Chandler, , activated from IR
2009-02-09, Chargers,  Shawne Merriman, , activated from IR
2009-02-09, Chargers, Keith Grennan, , activated from IR
2009-02-09, Chiefs,  Brian Johnston, , activated from IR
2009-02-09, Chiefs,  Brodie Croyle, , activated from IR
2009-02-09, Chiefs,  Claude McBride / Turk McBride, , activated from IR
2009-02-09, Chiefs,  Damon Huard, , activated from IR
2009-02-09, Chiefs,  Jean-Philippe Darche / J.P. Darche, , activated from IR
2009-02-09, Chiefs,  Kolby Smith, , activated from IR
2009-02-09, Colts,  Clifton Dawson, , activated from IR
2009-02-09, Colts,  Marlin Jackson, , activated from IR
2009-02-09, Colts,  Michael Coe, , activated from IR
2009-02-09, Colts,  Mike Hart (b), , activated from IR
2009-02-09, Colts,  Nick Graham, , activated from IR
2009-02-09, Colts,  T.J. Rushing, , activated from IR
2009-02-09, Colts,  Tom Santi, , activated from IR
2009-02-09, Colts, Ryan Lilja, , activated from IR
2009-02-09, Colts, Zac Herold, , activated from IR
2009-02-09, Cowboys,  Felix Jones, , activated from IR
2009-02-09, Cowboys,  Isaiah Stanback, , activated from IR
2009-02-09, Cowboys,  Mat McBriar, , activated from IR
2009-02-09, Cowboys,  Pat Watkins, , activated from IR
2009-02-09, Cowboys,  Roy Williams (L.), , activated from IR
2009-02-09, Cowboys,  Sam Hurd, , activated from IR
2009-02-09, Cowboys, Kyle Kosier, , activated from IR
2009-02-09, Dolphins,  Donald Thomas, , activated from IR
2009-02-09, Dolphins,  Greg Camarillo, , activated from IR
2009-02-09, Dolphins,  Justin Smiley, , activated from IR
2009-02-09, Dolphins, Aaron Halterman, , activated from IR
2009-02-09, Dolphins, Matt McChesney, , activated from IR
2009-02-09, Eagles,  Jack Ikegwuonu, , activated from physically unable to perform list
2009-02-09, Eagles,  King Dunlap, , activated from IR
2009-02-09, Eagles,  Max Jean-Gilles, , activated from IR
2009-02-09, Eagles,  Mike Gibson, , activated from IR
2009-02-09, Eagles,  Mike McGlynn, , activated from IR
2009-02-09, Falcons,  Antoine Harris, , activated from IR
2009-02-09, Falcons,  Ben Hartsock, , activated from IR
2009-02-09, Falcons,  David Irons, , activated from IR
2009-02-09, Falcons,  Laurent Robinson, , activated from IR
2009-02-09, Falcons,  Renardo Foster, , activated from physically unable to perform list
2009-02-09, Falcons,  Thomas Brown (c), , activated from IR
2009-02-09, Falcons,  Trey Lewis, , activated from physically unable to perform list
2009-02-09, Falcons,  Von Hutchins, , activated from IR
2009-02-09, Giants,  Anthony Wright, , activated from IR
2009-02-09, Giants,  Guy Whimper, , activated from IR
2009-02-09, Giants,  Jonathan Goff, , activated from IR
2009-02-09, Giants,  Osi Umenyiora, , activated from IR
2009-02-09, Giants,  Shane Olivea, , activated from IR
2009-02-09, Giants, David Tyree, , activated from IR
2009-02-09, Jaguars,  Adam Podlesh, , activated from IR
2009-02-09, Jaguars,  Chad Nkang, , activated from IR
2009-02-09, Jaguars,  Chris Naeole, , activated from IR
2009-02-09, Jaguars,  Daryl Smith (L.), , activated from IR
2009-02-09, Jaguars,  Fred Taylor (c), , activated from IR
2009-02-09, Jaguars,  Greg Jones (B.), , activated from IR
2009-02-09, Jaguars,  Jerry Porter, , activated from IR
2009-02-09, Jaguars,  Jonathan Lewis, , activated from IR
2009-02-09, Jaguars,  Maurice Williams, , activated from IR
2009-02-09, Jaguars,  Rashean Mathis, , activated from IR
2009-02-09, Jaguars,  Scott Starks, , activated from IR
2009-02-09, Jaguars,  Tony McDaniel, , activated from IR
2009-02-09, Jaguars,  Vince Manuwai, , activated from IR
2009-02-09, Jets,  Jesse Chatman, , activated from IR
2009-02-09, Jets, Brad Kassell, , activated from IR
2009-02-09, Jets, Erik Ainge, , activated from IR
2009-02-09, Lions,  Alex Lewis, , activated from IR
2009-02-09, Lions,  Brian Calhoun, , activated from IR
2009-02-09, Lions,  Cory Redding, , activated from IR
2009-02-09, Lions,  Gerald Alexander, , activated from IR
2009-02-09, Lions,  Jared DeVries, , activated from IR
2009-02-09, Lions,  Jon Bradley, , activated from IR
2009-02-09, Lions,  Jordon Dizon, , activated from IR
2009-02-09, Lions,  Keith Smith (b), , activated from IR
2009-02-09, Lions,  Reggie Ball, , activated from IR
2009-02-09, Lions,  Shaun McDonald, , activated from IR
2009-02-09, Lions,  Stanley Wilson (b), , activated from IR
2009-02-09, Lions, Jon Kitna, , activated from IR
2009-02-09, Packers,  Cullen Jenkins, , activated from IR
2009-02-09, Packers,  Kenneth Pettway / Kenny Pettway, , activated from IR
2009-02-09, Packers,  Kregg Lumpkin, , activated from IR
2009-02-09, Packers,  Nick Barnett, , activated from IR
2009-02-09, Packers,  Pat Lee, , activated from IR
2009-02-09, Packers,  Shaun Bodiford, , activated from IR
2009-02-09, Packers, Atari Bigby, , activated from IR
2009-02-09, Packers, Mark Tauscher, , activated from IR
2009-02-09, Panthers,  Dan Connor (a), , activated from IR
2009-02-09, Panthers,  Gary Gibson, , activated from IR
2009-02-09, Panthers,  Keydrick Vincent, , activated from IR
2009-02-09, Panthers,  Ryne Robinson, , activated from IR
2009-02-09, Patriots,  Adalius Thomas, , activated from IR
2009-02-09, Patriots,  Anthony Clement, , activated from IR
2009-02-09, Patriots,  Barry Stokes, , activated from IR
2009-02-09, Patriots,  Clevan Williams / Tank Williams, , activated from IR
2009-02-09, Patriots,  Eric Alexander, , activated from IR
2009-02-09, Patriots,  Jason Webster, , activated from IR
2009-02-09, Patriots,  Kenny Smith, , activated from IR
2009-02-09, Patriots,  Laurence Maroney, , activated from IR
2009-02-09, Patriots,  Pierre Woods, , activated from IR
2009-02-09, Patriots,  Rodney Harrison, , activated from IR
2009-02-09, Patriots,  Ryan O'Callaghan, , activated from IR
2009-02-09, Patriots,  Shawn Crable, , activated from IR
2009-02-09, Patriots,  Terrence Wheatley, , activated from IR
2009-02-09, Patriots,  Tom Brady, , activated from IR
2009-02-09, Patriots, Bo Ruud, , activated from IR
2009-02-09, Raiders,  Arman Shields, , activated from IR
2009-02-09, Raiders,  Ashley Lelie, , activated from IR
2009-02-09, Raiders,  Ben Troupe, , activated from IR
2009-02-09, Raiders,  Drew Carter, , activated from IR
2009-02-09, Raiders,  Javon Walker, , activated from IR
2009-02-09, Raiders,  John Bowie, , activated from IR
2009-02-09, Raiders,  Justin Griffith, , activated from IR
2009-02-09, Raiders,  Oren O'Neal, , activated from IR
2009-02-09, Raiders,  Paul McQuistan, , activated from IR
2009-02-09, Raiders,  Tyvon Branch, , activated from IR
2009-02-09, Rams,  Brandon Gorin, , activated from IR
2009-02-09, Rams,  Brian Leonard, , activated from IR
2009-02-09, Rams,  Dante Hall, , activated from IR
2009-02-09, Rams,  Drew Bennett, , activated from IR
2009-02-09, Rams,  Justin King, , activated from IR
2009-02-09, Rams,  Nick Leckey, , activated from IR
2009-02-09, Rams,  Randy McMichael, , activated from IR
2009-02-09, Rams,  Ricky Manning Jr., , activated from IR
2009-02-09, Rams,  Tye Hill, , activated from IR
2009-02-09, Ravens,  Chris McAlister, , activated from IR
2009-02-09, Ravens,  Cory Ross, , activated from IR
2009-02-09, Ravens,  Dawan Landry, , activated from IR
2009-02-09, Ravens,  Demetrius Williams, , activated from IR
2009-02-09, Ravens,  Derrick Martin (b), , activated from IR
2009-02-09, Ravens,  Dwan Edwards, , activated from IR
2009-02-09, Ravens,  Kelly Gregg, , activated from IR
2009-02-09, Ravens,  Kelly Talavou, , activated from IR
2009-02-09, Ravens,  Kyle Boller, , activated from IR
2009-02-09, Ravens,  Lamar Divens, , activated from IR
2009-02-09, Ravens,  Marcus Maxwell, , activated from IR
2009-02-09, Ravens,  Marshal Yanda, , activated from IR
2009-02-09, Ravens,  Prescott Burgess, , activated from IR
2009-02-09, Ravens,  Prince Daniels / P.J. Daniels, , activated from IR
2009-02-09, Ravens,  Quinn Sypniewski, , activated from IR
2009-02-09, Ravens,  Tavares Gooden, , activated from IR
2009-02-09, Ravens,  Terrence Melton, , activated from IR
2009-02-09, Redskins,  Alex Buzbee, , activated from IR
2009-02-09, Redskins,  Chris Samuels (b), , activated from IR
2009-02-09, Redskins,  Justin Geisinger, , activated from IR
2009-02-09, Redskins,  Lorenzo Alexander, , activated from IR
2009-02-09, Redskins,  Phillip Daniels, , activated from IR
2009-02-09, Redskins,  Reed Doughty, , activated from IR
2009-02-09, Saints,  Aaron Glenn, , activated from IR
2009-02-09, Saints,  Aaron Stecker, , activated from IR
2009-02-09, Saints,  Adrian Arrington, , activated from IR
2009-02-09, Saints,  Brian Young, , activated from IR
2009-02-09, Saints,  Courtney Roby, , activated from IR
2009-02-09, Saints,  DeMario Pressley, , activated from IR
2009-02-09, Saints,  James Reed, , activated from IR
2009-02-09, Saints,  Mark Campbell, , activated from IR
2009-02-09, Saints,  Mark Simoneau, , activated from IR
2009-02-09, Saints,  Martin Gramatica, , activated from IR
2009-02-09, Saints,  Mike McKenzie (b), , activated from IR
2009-02-09, Saints,  Montavious Stanley, , activated from IR
2009-02-09, Saints,  Olaniyi Sobomehin, , activated from IR
2009-02-09, Saints,  Reggie Bush, , activated from IR
2009-02-09, Saints,  Tracy Porter (b), , activated from IR
2009-02-09, Saints, Kevin Kaesviharn, , activated from IR
2009-02-09, Seahawks,  Ben Obomanu, , activated from IR
2009-02-09, Seahawks,  Chris Cooper, , activated from IR
2009-02-09, Seahawks,  Chris Spencer, , activated from IR
2009-02-09, Seahawks,  Logan Payne, , activated from IR
2009-02-09, Seahawks,  Nate Burleson, , activated from IR
2009-02-09, Seahawks,  Patrick Kerney, , activated from IR
2009-02-09, Seahawks,  Rob Sims, , activated from IR
2009-02-09, Seahawks,  Sean Locklear, , activated from IR
2009-02-09, Seahawks,  Tyler Schmitt, , activated from IR
2009-02-09, Seahawks,  Walter Jones, , activated from IR
2009-02-09, Seahawks,  Wesley Mallard / Wesly Mallard / Wes Mallard, , activated from IR
2009-02-09, Seahawks, Mike Wahle, , activated from IR
2009-02-09, Steelers,  Charlie Batch, , activated from IR
2009-02-09, Steelers,  Daniel Sepulveda / Dan Sepulveda, , activated from IR
2009-02-09, Steelers,  Greg Warren, , activated from IR
2009-02-09, Steelers,  Kendall Simmons, , activated from IR
2009-02-09, Steelers,  Marvel Smith, , activated from IR
2009-02-09, Steelers,  Rashard Mendenhall, , activated from IR
2009-02-09, Texans,  Ahman Green, , activated from IR
2009-02-09, Texans,  Antwaun Molden, , activated from IR
2009-02-09, Texans,  C.C. Brown, , activated from IR
2009-02-09, Texans,  Chris Brown (R.), , activated from IR
2009-02-09, Texans,  Chris Taylor (RB), , activated from IR
2009-02-09, Texans,  Earl Cochran, , activated from IR
2009-02-09, Texans,  Fred Weary (Edward), , activated from IR
2009-02-09, Texans,  Harry Williams Jr., , activated from IR
2009-02-09, Texans,  Jimmy Williams (b), , activated from IR
2009-02-09, Texans,  Scott Jackson, , activated from IR
2009-02-09, Texans,  Stanley McClover, , activated from IR
2009-02-09, Texans, Zac Diles, , activated from IR
2009-02-09, Titans,  Cary Williams, , activated from IR
2009-02-09, Titans,  Eric King (b), , activated from IR
2009-02-09, Titans,  Reynaldo Hill, , activated from IR
2009-02-09, Titans, Josh Stamer, , activated from IR
2009-02-09, Vikings,  Charles Gordon, , activated from IR
2009-02-09, Vikings,  Drew Radovich, , activated from IR
2009-02-09, Vikings,  E.J. Henderson, , activated from IR
2009-02-09, Vikings,  Heath Farwell, , activated from IR
2009-02-09, Vikings,  Jayme Mitchell, , activated from IR
2009-02-09, Vikings,  Kenderick Allen, , activated from IR
2009-02-09, Vikings,  Michael Boulware, , activated from IR
2009-02-09, Vikings,  Mike Jones, , activated from IR
2009-02-09, Browns, Antwan Peek, , activated from IR
2009-02-09, Giants,  Sam Madison, , activated from IR
2009-02-09, Giants,  Sammy Knight, , activated from IR
2009-02-09, Giants, Reuben Droughns, , activated from IR
2009-02-09, Lions,  Dan Campbell (A.), , activated from IR
2009-02-09, Lions,  Dwight Smith, , activated from IR
2009-02-09, Lions,  Mike Furrey, , activated from IR
2009-02-09, Lions, Edwin Mulitalo, , activated from IR
2009-05-18, Buccaneers, ,  Byron Storer, placed on IR with torn ACL in right knee
2009-07-23, Patriots, ,  Eric Kettani, placed on reserve/military list
2009-07-23, Patriots, ,  Tyree Barnes, placed on reserve/military list
2009-07-25, Bills, ,  C.J. Hawthorne, placed on physically unable to perform list with leg injury
2009-07-25, Bills, ,  James Hardy (b), placed on physically unable to perform list with knee injury
2009-07-25, Chargers, ,  Curtis Brinkley, placed on non-football injury list with shoulder injury
2009-07-27, Patriots, ,  Brandon Tate, placed on non-football injury list with knee injury / physically unable to perform list (CBS NFL)
2009-07-27, Patriots, ,  Darryl Richard, placed on physically unable to perform list
2009-07-27, Patriots, ,  Jermail Porter, placed on non-football injury list
2009-07-27, Patriots, ,  Mark LeVoir, placed on physically unable to perform list with shoulder injury
2009-07-27, Patriots, ,  Rich Ohrnberger, placed on physically unable to perform list
2009-07-27, Patriots, ,  Shawn Crable, placed on physically unable to perform list
2009-07-27, Patriots, ,  Ty Warren, placed on physically unable to perform list with knee injury
2009-07-28, Browns, ,  Braylon Edwards, placed on physically unable to perform list (E NFL SN) / placed on non-football injury list (CBC)
2009-07-28, Browns, ,  Coye Francies, placed on non-football injury list (CBC) / physically unable to perform list (SN)
2009-07-28, Browns, ,  Marlon Davis, placed on left squad list (CBC) / physically unable to perform list (SN)
2009-07-28, Ravens, ,  Adam Terry, placed on physically unable to perform list
2009-07-28, Ravens, ,  Ben Grubbs, placed on physically unable to perform list
2009-07-28, Ravens, ,  Davon Drew, placed on physically unable to perform list
2009-07-28, Ravens, ,  Jason Phillips, placed on physically unable to perform list
2009-07-28, Ravens, ,  Joe Reitz, placed on physically unable to perform list
2009-07-28, Ravens, ,  Lamar Divens, placed on physically unable to perform list
2009-07-28, Ravens, ,  Louis Saucedo / Lou Saucedo, placed on physically unable to perform list (SN)
2009-07-28, Ravens, ,  Marshal Yanda, placed on physically unable to perform list
2009-07-28, Ravens, ,  Samari Rolle, placed on physically unable to perform list
2009-07-28, Ravens, ,  Willis McGahee, placed on physically unable to perform list
2009-07-28, Ravens, ,  Yamon Figurs, placed on physically unable to perform list
2009-07-28, Ravens, ,  Jayson Foster, placed on physically unable to perform list
2009-07-29, 49ers, ,  Ricky Jean Francois, placed on non-football injury list with illness
2009-07-29, 49ers, ,  Walt Harris (b), placed on IR with surgery on right knee to repair ACL
2009-07-29, Cowboys, ,  Stephen Hodge, placed on physically unable to perform list with knee injury
2009-07-29, Cowboys, ,  Tim Anderson (b), placed on physically unable to perform list with toe injury
2009-07-30, Broncos, ,  Champ Bailey, placed on physically unable to perform list with elbow injury
2009-07-30, Broncos, ,  Lucas Taylor, placed on IR with undisclosed injury
2009-07-30, Broncos, ,  Marcus Thomas (a), placed on physically unable to perform list for undisclosed reason
2009-07-30, Broncos, ,  Renaldo Hill, placed on physically unable to perform list for undisclosed reason
2009-07-30, Eagles, ,  Asante Samuel, placed on physically unable to perform list with hamstring injury
2009-07-30, Eagles, ,  Brian Westbrook, placed on physically unable to perform list with ankle injury
2009-07-30, Eagles, ,  Jason Peters, placed on physically unable to perform list with quadriceps injury
2009-07-30, Eagles, ,  Shawn Andrews, placed on physically unable to perform list with ankle injury
2009-07-30, Eagles, ,  Trevor Laws, placed on physically unable to perform list with hamstring injury
2009-07-30, Eagles, ,  Victor Abiamiri, placed on physically unable to perform list with pectoral muscle injury
2009-07-30, Raiders, ,  Javon Walker, placed on physically unable to perform list with knee injury
2009-07-30, Raiders, ,  Robert Gallery, placed on physically unable to perform list with appendectomy
2009-07-30, Ravens, ,  Kelley Washington, placed on physically unable to perform list for undisclosed reason
2009-07-31, 49ers, ,  Ray McDonald (c), placed on physically unable to perform list
2009-07-31, Bills, ,  P.K. Sam, placed on IR with quadriceps injury (CBC) / waived (CBS E)
2009-07-31, Bills,  C.J. Hawthorne, , activated from physically unable to perform list
2009-07-31, Packers, ,  Brad Jones (a), placed on physically unable to perform list with back injury
2009-07-31, Packers, ,  Nick Barnett, placed on physically unable to perform list with knee injury
2009-07-31, Patriots, ,  Shawn Springs, placed on physically unable to perform list
2009-07-31, Ravens,  Marshal Yanda, , activated from physically unable to perform list
2009-07-31, Seahawks, ,  Marcus Trufant, placed on physically unable to perform list with back injury
2009-07-31, Steelers, ,  Stefan Logan, placed on physically unable to perform list with foot injury
2009-08-01, Lions, ,  Bryant Johnson, placed on non-football injury list
2009-08-01, Lions, ,  Grady Jackson, placed on non-football injury list
2009-08-02, Chiefs,  Brian Waters, , activated from non-football injury list
2009-08-02, Chiefs,  Mike Goff, , activated from non-football injury list
2009-08-02, Chiefs,  Ron Edwards, , activated from non-football injury list
2009-08-02, Dolphins, ,  Matt Roth, placed on physically unable to perform list with illness
2009-08-02, Titans, ,  Kenny Britt, placed on physically unable to perform list with hamstring injury
2009-08-03, Cowboys,  Stephen Hodge, , activated from physically unable to perform list
2009-08-03, Ravens,  Jason Phillips, , activated from physically unable to perform list
2009-08-04, Broncos, , Nick Greisen, placed on IR with knee injury
2009-08-04, Cardinals, ,  Justin Green, placed on IR with knee injury
2009-08-04, Dolphins, ,  Brennan Marion, placed on IR with knee injury
2009-08-04, Ravens, ,  Adam Terry, placed on IR with right knee injury
2009-08-04, Ravens,  Yamon Figurs, , activated from physically unable to perform list
2009-08-05, 49ers,  Ricky Jean Francois, , activated from non-football injury list with illness
2009-08-05, Bengals, ,  Reggie Kelly, placed on IR with ruptured left Achilles tendon
2009-08-05, Panthers, ,  Ma'ake Kemoeatu, placed on IR with torn right Achilles tendon
2009-08-06, Cardinals, ,  Jason Banks, placed on IR with knee injury
2009-08-06, Falcons, ,  Harry Douglas, placed on IR with torn ACL in left knee
2009-08-07, Lions, ,  Damion Cook, placed on IR with torn triceps
2009-08-07, Titans,  Kenny Britt, , activated from physically unable to perform list with hamstring injury
2009-08-08, Broncos, ,  J'Vonne Parker, placed on IR with left knee injury
2009-08-10, Patriots,  Rich Ohrnberger, , activated from physically unable to perform list
2009-08-10, Patriots,  Ty Warren, , activated from physically unable to perform list
2009-08-10, Raiders,  Robert Gallery, , activated from physically unable to perform list
2009-08-10, Saints, ,  Dan Campbell (A.), placed on IR with right knee injury
2009-08-11, Bears, ,  Fontel Mines, placed on IR with torn ACL in knee
2009-08-11, Lions, ,  Jared DeVries, placed on IR with ruptured Achilles tendon
2009-08-13, Colts,  Sam Giguere, , activated from physically unable to perform list
2009-08-13, Packers, ,  Tory Humphrey, placed on IR with forearm injury
2009-08-15, Ravens, ,  Lamar Divens, placed on IR with hip injury
2009-08-16, Saints, ,  Mark Simoneau, placed on IR with tricep injury
2009-08-16, Saints, ,  Reggie Jones (b), placed on IR with Achilles tendon injury
2009-08-17, Buccaneers, ,  Josh Bidwell, placed on IR with hip injury
2009-08-17, Patriots, ,  Shun White, placed on reserve/military list
2009-08-18, 49ers, ,  Thomas Clayton, placed on IR with knee injury
2009-08-18, Colts, ,  Roy Hall (b), placed on IR with undisclosed injury
2009-08-18, Cowboys, ,  Alonzo Coleman, placed on IR with knee injury
2009-08-18, Giants, ,  Andre Brown (b), placed on IR with Achilles tendon injury
2009-08-18, Lions, ,  Cody Spencer, placed on IR with torn ACL in right knee
2009-08-18, Ravens, ,  Marcus Smith (b), placed on IR with knee injury
2009-08-18, Texans, ,  Stanley McClover, placed on IR with knee injury
2009-08-18, Texans,  Antwaun Molden, , activated from physically unable to perform list
2009-08-18, Texans, ,  Troy Nolan, placed on IR
2009-08-20, Bengals, ,  Dan Santucci, placed on IR with foot injury
2009-08-20, Lions, ,  Daniel Bullocks, placed on IR with knee injury
2009-08-24, 49ers,  Ray McDonald (c), , activated from physically unable to perform list
2009-08-24, Buccaneers, ,  Angelo Crowell, placed on IR with torn biceps muscle
2009-08-24, Cardinals, ,  Cody Brown, placed on IR with wrist injury
2009-08-24, Raiders,  Javon Walker, , activated from physically unable to perform list
2009-08-24, Texans,  Boomer Grigsby, , activated from IR
2009-08-25, Packers, ,  Devin Frischknecht, placed on IR with leg injury
2009-08-26, Titans,  Kevin Mawae, , activated from physically unable to perform list
2009-08-28, Bears, ,  Dusty Dvoracek, placed on IR with torn ACL in right knee
2009-08-28, Texans, ,  Cato June, placed on IR with forearm injury
2009-08-31, Cardinals, ,  Cody Brown, placed on IR with wrist injury (CBS NFL SN)
2009-08-31, Lions, ,  Dexter Wynn, placed on IR with hand injury (CBS NFL)
2009-08-31, Panthers, ,  C.J. Davis, placed on IR
2009-08-31, Patriots, ,  Brandon Tate, placed on IR with torn ACL and MCL in right knee
2009-08-31, Patriots, ,  Tyrone McKenzie, placed on IR with right knee injury
2009-08-31, Steelers, ,  Darnell Stapleton, placed on IR with knee injury
2009-08-31, Bears,  Dusty Dvoracek, , activated from IR
2009-08-31, Bengals, ,  Matt Sherry, placed on IR (SN)
2009-08-31, Bengals, ,  Ben Utecht, placed on IR with concussion
2009-09-01, Browns, ,  Fred Weary (Edward), placed on IR with right leg injury
2009-09-01, Browns, ,  Ryan Tucker, placed on IR with knee injury
2009-09-01, Chargers, ,  Brandon Hughes, placed on IR with knee injury
2009-09-01, Chargers, ,  Demetrius Byrd, placed on non-football injury list
2009-09-01, Chiefs, ,  Devard Darling, placed on IR with left knee injury
2009-09-01, Chiefs, ,  Kolby Smith, placed on physically unable to perform list with knee injury
2009-09-01, Cowboys, ,  Brandon Williams (c), placed on IR with torn ACL in left knee
2009-09-01, Cowboys, ,  Robert Brewster, placed on physically unable to perform list with shoulder injury
2009-09-01, Eagles, ,  Cornelius Ingram, placed on IR with knee injury
2009-09-01, Eagles, ,  Stewart Bradley, placed on IR with knee injury
2009-09-01, Giants, ,  Andre Brown (b), placed on IR with left Achilles tendon injury (CBS NFL)
