"","datestring","abbr","qb_relinquished","non_qb_relinquished"
"1","20090910","CIN",0,2
"2","20090910","PHI",0,1
"3","20090911","ATL",0,1
"4","20090911","DAL",0,3
"5","20090911","DEN",0,2
"6","20090911","HOU",0,2
"7","20090911","IND",0,3
"8","20090911","JAX",0,1
"9","20090911","LAR",0,2
"10","20090911","MIN",0,1
"11","20090911","NOR",0,2
"12","20090911","NYG",0,1
"13","20090911","PHI",0,1
"14","20090911","SFO",0,2
"15","20090911","TAM",0,1
"16","20090916","GNB",0,1
"17","20090916","SEA",0,1
"18","20090918","ARI",0,1
"19","20090918","BUF",0,1
"20","20090918","CIN",0,1
"21","20090918","DEN",0,1
"22","20090918","GNB",0,1
"23","20090918","HOU",0,2
"24","20090918","JAX",0,1
"25","20090918","LAC",0,3
"26","20090918","NOR",0,1
"27","20090918","NWE",0,1
"28","20090918","NYG",0,5
"29","20090918","OAK",0,2
"30","20090918","PHI",0,1
"31","20090918","PIT",0,2
"32","20090918","TAM",0,1
"33","20090923","CIN",0,1
"34","20090923","NOR",0,1
"35","20090923","PHI",0,2
"36","20090923","SEA",0,2
"37","20090923","TEN",0,1
"38","20090925","CHI",0,1
"39","20090925","GNB",0,1
"40","20090925","IND",0,1
"41","20090925","JAX",0,1
"42","20090925","NOR",0,3
"43","20090925","NYJ",0,2
"44","20090925","OAK",0,1
"45","20090925","TAM",0,1
"46","20090927","CAR",0,1
"47","20090927","DAL",0,2
"48","20090929","MIN",0,1
"49","20090930","JAX",0,1
"50","20090930","TEN",0,1
"51","20091002","BUF",0,4
"52","20091002","DAL",0,1
"53","20091002","HOU",0,1
"54","20091002","LAC",0,1
"55","20091002","LAR",0,1
"56","20091002","NOR",0,1
"57","20091002","NYG",0,2
"58","20091002","PIT",0,1
"59","20091002","SFO",0,2
"60","20091007","JAX",0,1
"61","20091007","SEA",0,2
"62","20091008","SFO",0,1
"63","20091009","ATL",0,1
"64","20091009","BUF",0,1
"65","20091009","CAR",0,1
"66","20091009","CIN",0,1
"67","20091009","DAL",0,1
"68","20091009","DEN",0,1
"69","20091009","DET",0,2
"70","20091009","HOU",0,1
"71","20091009","IND",0,1
"72","20091009","JAX",0,2
"73","20091009","MIN",0,1
"74","20091009","NWE",0,1
"75","20091009","NYG",0,2
"76","20091009","OAK",0,4
"77","20091009","PIT",0,1
"78","20091009","WAS",0,1
"79","20091016","ARI",0,1
"80","20091016","DET",0,1
"81","20091016","GNB",0,1
"82","20091016","TEN",0,1
"83","20091021","GNB",0,2
"84","20091023","BUF",1,0
"85","20091023","CHI",0,1
"86","20091023","GNB",0,1
"87","20091023","IND",0,2
"88","20091023","NWE",0,2
"89","20091023","NYJ",0,2
"90","20091023","PHI",0,3
"91","20091023","SFO",0,2
"92","20091027","CHI",0,1
