"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"1","A.Rodgers-00-0023459",2016,0.560847098138585,0.473499861289419,0.739555496319932,1.77390245574794
"2","A.Rodgers-00-0023459",2017,2.22108838972718,1.69020970659592,0.970603482395258,4.88190157871836
"3","A.Rodgers-00-0023459",2018,1.86941756085162,1.60922530240507,0.694232451754807,4.1728753150115
"4","A.Smith-00-0023436",2016,0.328503110004892,0.637814017763591,1.68858110772492,2.6548982354934
"5","A.Smith-00-0023436",2017,0.547286314636739,1.59788934165257,1.10623837107687,3.25141402736617
"6","A.Smith-00-0023436",2018,1.93286502808444,2.92499126634098,1.2373153440253,6.09517163845072
"7","B.Brohm-00-0026196",2016,NA,NA,NA,NA
"8","B.Brohm-00-0026196",2017,NA,NA,NA,NA
"9","B.Brohm-00-0026196",2018,NA,NA,NA,NA
"10","B.Croyle-00-0024300",2016,NA,NA,NA,NA
"11","B.Croyle-00-0024300",2017,NA,NA,NA,NA
"12","B.Croyle-00-0024300",2018,NA,NA,NA,NA
"13","B.Favre-00-0005106",2016,NA,NA,NA,NA
"14","B.Favre-00-0005106",2017,NA,NA,NA,NA
"15","B.Favre-00-0005106",2018,NA,NA,NA,NA
"16","B.Gradkowski-00-0024408",2016,NA,NA,NA,NA
"17","B.Gradkowski-00-0024408",2017,NA,NA,NA,NA
"18","B.Gradkowski-00-0024408",2018,NA,NA,NA,NA
"19","B.Hoyer-00-0026625",2016,0.442677569607852,-0.0139824402547846,0.00289314959994589,0.431588278953013
"20","B.Hoyer-00-0026625",2017,0.656951346703041,0.405066189723823,-0.0167996385790282,1.04521789784784
"21","B.Hoyer-00-0026625",2018,0.654486258492055,0.710220449222631,-0.0527694829500549,1.31193722476463
"22","B.Leftwich-00-0022177",2016,NA,NA,NA,NA
"23","B.Leftwich-00-0022177",2017,NA,NA,NA,NA
"24","B.Leftwich-00-0022177",2018,NA,NA,NA,NA
"25","B.Quinn-00-0025409",2016,NA,NA,NA,NA
"26","B.Quinn-00-0025409",2017,NA,NA,NA,NA
"27","B.Quinn-00-0025409",2018,NA,NA,NA,NA
"28","B.Roethlisberger-00-0022924",2016,1.30745227360383,0.321759962674778,-0.0637453782204284,1.56546685805818
"29","B.Roethlisberger-00-0022924",2017,1.42190149316174,0.89850427459145,-0.017310926518737,2.30309484123445
"30","B.Roethlisberger-00-0022924",2018,2.03204027553609,2.31785562228971,0.0891142751796154,4.43901017300542
"31","B.Volek-00-0019041",2016,NA,NA,NA,NA
"32","B.Volek-00-0019041",2017,NA,NA,NA,NA
"33","B.Volek-00-0019041",2018,NA,NA,NA,NA
"34","C.Batch-00-0000865",2016,NA,NA,NA,NA
"35","C.Batch-00-0000865",2017,NA,NA,NA,NA
"36","C.Batch-00-0000865",2018,NA,NA,NA,NA
"37","C.Frye-00-0023502",2016,NA,NA,NA,NA
"38","C.Frye-00-0023502",2017,NA,NA,NA,NA
"39","C.Frye-00-0023502",2018,NA,NA,NA,NA
"40","C.Hanie-00-0025970",2016,NA,NA,NA,NA
"41","C.Hanie-00-0025970",2017,NA,NA,NA,NA
"42","C.Hanie-00-0025970",2018,NA,NA,NA,NA
"43","C.Henne-00-0026197",2016,0.232492669640066,0.273978880601149,-0.0083512818633363,0.498120268377878
"44","C.Henne-00-0026197",2017,0.0123668176381279,0.000709570101568853,0.00396299576055368,0.0170393835002504
"45","C.Henne-00-0026197",2018,0,0,0,0
