"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"1","A.Bradshaw-00-0025637",2016,-0.0106279902698952,0.0641415634684384,0.0451816923028013,0.0986952655013445
"2","A.Bradshaw-00-0025637",2017,8.24886035209656e-05,0.0237722820539644,0.0225551124585727,0.0464098831160581
"3","A.Bradshaw-00-0025637",2018,0.00290597276687512,0.00212620876661024,0.00584720041138959,0.010879381944875
"4","A.Brown-00-0027129",2016,NA,NA,NA,NA
"5","A.Brown-00-0027129",2017,NA,NA,NA,NA
"6","A.Brown-00-0027129",2018,NA,NA,NA,NA
"7","A.Foster-00-0026796",2016,-0.00117978151714742,-0.0275571787477677,0.148016766205782,0.119279805940867
"8","A.Foster-00-0026796",2017,0.0174140432364655,0.00918041323416686,0.0667453343183532,0.0933397907889856
"9","A.Foster-00-0026796",2018,0.0115520755032806,0.0121528495938152,0.0131311381884098,0.0368360632855056
"10","A.Green-00-0006305",2016,NA,NA,NA,NA
"11","A.Green-00-0006305",2017,NA,NA,NA,NA
"12","A.Green-00-0006305",2018,NA,NA,NA,NA
"13","A.Hall-00-0024489",2016,NA,NA,NA,NA
"14","A.Hall-00-0024489",2017,NA,NA,NA,NA
"15","A.Hall-00-0024489",2018,NA,NA,NA,NA
"16","A.Peterson-00-0021306",2016,NA,NA,NA,NA
"17","A.Peterson-00-0021306",2017,NA,NA,NA,NA
"18","A.Peterson-00-0021306",2018,NA,NA,NA,NA
"19","A.Peterson-00-0025394",2016,-0.00282838536775689,0.0252557604837124,0.487174912352929,0.509602287468885
"20","A.Peterson-00-0025394",2017,-0.00367013721168513,0.0148397381660693,0.290262863537402,0.301432464491786
"21","A.Peterson-00-0025394",2018,0.0164098672920645,-0.0131643272805708,0.232052617703873,0.235298157715367
"22","A.Stecker-00-0015601",2016,NA,NA,NA,NA
"23","A.Stecker-00-0015601",2017,NA,NA,NA,NA
"24","A.Stecker-00-0015601",2018,NA,NA,NA,NA
"25","B.Askew-00-0022003",2016,NA,NA,NA,NA
"26","B.Askew-00-0022003",2017,NA,NA,NA,NA
"27","B.Askew-00-0022003",2018,NA,NA,NA,NA
"28","B.Green-Ellis-00-0025860",2016,0.000778803379142879,0.000782315029390313,-0.00212237841881262,-0.00056126001027943
"29","B.Green-Ellis-00-0025860",2017,NA,NA,NA,NA
"30","B.Green-Ellis-00-0025860",2018,NA,NA,NA,NA
"31","B.Hoover-00-0019100",2016,NA,NA,NA,NA
"32","B.Hoover-00-0019100",2017,NA,NA,NA,NA
"33","B.Hoover-00-0019100",2018,NA,NA,NA,NA
"34","B.Jackson-00-0025450",2016,NA,NA,NA,NA
"35","B.Jackson-00-0025450",2017,NA,NA,NA,NA
"36","B.Jackson-00-0025450",2018,NA,NA,NA,NA
"37","B.Jacobs-00-0023545",2016,0,0,0.000820247821000678,0.000820247821000678
"38","B.Jacobs-00-0023545",2017,NA,NA,NA,NA
"39","B.Jacobs-00-0023545",2018,NA,NA,NA,NA
"40","B.Leonard-00-0025439",2016,0.00117364838181432,0.00652457953517633,0.000614571830884976,0.00831279974787563
"41","B.Leonard-00-0025439",2017,NA,NA,NA,NA
"42","B.Leonard-00-0025439",2018,NA,NA,NA,NA
"43","B.Scott-00-0026941",2016,0,0,0,0
"44","B.Scott-00-0026941",2017,NA,NA,NA,NA
"45","B.Scott-00-0026941",2018,NA,NA,NA,NA
"46","B.Westbrook-00-0021216",2016,NA,NA,NA,NA
"47","B.Westbrook-00-0021216",2017,NA,NA,NA,NA
"48","B.Westbrook-00-0021216",2018,NA,NA,NA,NA
"49","C.Benson-00-0023439",2016,NA,NA,NA,NA
"50","C.Benson-00-0023439",2017,NA,NA,NA,NA
"51","C.Benson-00-0023439",2018,NA,NA,NA,NA
"52","C.Brown-00-0022092",2016,NA,NA,NA,NA
"53","C.Brown-00-0022092",2017,NA,NA,NA,NA
"54","C.Brown-00-0022092",2018,NA,NA,NA,NA
"55","C.Buckhalter-00-0020270",2016,NA,NA,NA,NA
"56","C.Buckhalter-00-0020270",2017,NA,NA,NA,NA
"57","C.Buckhalter-00-0020270",2018,NA,NA,NA,NA
"58","C.Jennings-00-0027167",2016,NA,NA,NA,NA
"59","C.Jennings-00-0027167",2017,NA,NA,NA,NA
