"","player","year","proj_air","proj_yac","proj_rush","proj_total"
"1","A.Becht-00-0019457",2016,NA,NA,NA,NA
"2","A.Becht-00-0019457",2017,NA,NA,NA,NA
"3","A.Becht-00-0019457",2018,NA,NA,NA,NA
"4","A.Crumpler-00-0020285",2016,NA,NA,NA,NA
"5","A.Crumpler-00-0020285",2017,NA,NA,NA,NA
"6","A.Crumpler-00-0020285",2018,NA,NA,NA,NA
"7","A.Fasano-00-0024268",2016,0.0285820962942104,0.0198380626236054,0,0.0484201589178158
"8","A.Fasano-00-0024268",2017,0.0103516476118932,0.00409853356660681,0,0.0144501811785
"9","A.Fasano-00-0024268",2018,0.00234397451679226,-0.000731643900421747,0,0.00161233061637051
"10","A.Gates-00-0021547",2016,0.343412528647239,0.0591782469790777,0,0.402590775626316
"11","A.Gates-00-0021547",2017,0.367929042290449,-0.0176082068631039,0,0.350320835427345
"12","A.Gates-00-0021547",2018,0.169061851767731,-0.0920636777341444,0,0.0769981740335867
"13","A.Hill-00-0026908",2016,NA,NA,NA,NA
"14","A.Hill-00-0026908",2017,NA,NA,NA,NA
"15","A.Hill-00-0026908",2018,NA,NA,NA,NA
"16","A.Smith-00-0023506",2016,0,0,0,0
"17","A.Smith-00-0023506",2017,0,0,0,0
"18","A.Smith-00-0023506",2018,0,0,0,0
"19","B.Bajema-00-0023679",2016,0,0,0,0
"20","B.Bajema-00-0023679",2017,NA,NA,NA,NA
"21","B.Bajema-00-0023679",2018,NA,NA,NA,NA
"22","B.Celek-00-0025549",2016,0.0532978203503223,-0.0407737295492186,0,0.0125240908011037
"23","B.Celek-00-0025549",2017,0.0743748475470663,-0.00863304946357729,0,0.065741798083489
"24","B.Celek-00-0025549",2018,0.0385646095939824,-0.0065097240223001,0,0.0320548855716823
"25","B.Cottam-00-0026216",2016,NA,NA,NA,NA
"26","B.Cottam-00-0026216",2017,NA,NA,NA,NA
"27","B.Cottam-00-0026216",2018,NA,NA,NA,NA
"28","B.Hartsock-00-0022847",2016,NA,NA,NA,NA
"29","B.Hartsock-00-0022847",2017,NA,NA,NA,NA
"30","B.Hartsock-00-0022847",2018,NA,NA,NA,NA
"31","B.Manumaleuna-00-0020342",2016,NA,NA,NA,NA
"32","B.Manumaleuna-00-0020342",2017,NA,NA,NA,NA
"33","B.Manumaleuna-00-0020342",2018,NA,NA,NA,NA
"34","B.Myers-00-0027135",2016,0.0489616201401677,0.0128511158848033,0,0.061812736024971
"35","B.Myers-00-0027135",2017,0.00953899460901368,-0.00639370749986366,0,0.00314528710915002
"36","B.Myers-00-0027135",2018,0.00138079491420847,-0.00289116808113044,0,-0.00151037316692198
"37","B.Pascoe-00-0026931",2016,0.0044434546806896,0.00582258301391531,0,0.0102660376946049
"38","B.Pascoe-00-0026931",2017,0,0,0,0
"39","B.Pascoe-00-0026931",2018,NA,NA,NA,NA
"40","B.Patrick-00-0025602",2016,NA,NA,NA,NA
"41","B.Patrick-00-0025602",2017,NA,NA,NA,NA
"42","B.Patrick-00-0025602",2018,NA,NA,NA,NA
"43","B.Pettigrew-00-0026996",2016,0.0105879811044335,0.0157504032128551,0,0.0263383843172886
"44","B.Pettigrew-00-0026996",2017,-0.000265622642614286,0.000351204333611819,0,8.55816909975333e-05
"45","B.Pettigrew-00-0026996",2018,0,0,0,0
"46","B.Scaife-00-0023612",2016,NA,NA,NA,NA
"47","B.Scaife-00-0023612",2017,NA,NA,NA,NA
"48","B.Scaife-00-0023612",2018,NA,NA,NA,NA
"49","B.Watson-00-0022943",2016,0.30612310075195,0.00320900182882892,0,0.309332102580779
"50","B.Watson-00-0022943",2017,0.183366318556362,-0.00511602566719509,0,0.178250292889167
"51","B.Watson-00-0022943",2018,0.0620668743583739,0.0247555086044336,0,0.0868223829628075
"52","C.Baker-00-0021213",2016,NA,NA,NA,NA
"53","C.Baker-00-0021213",2017,NA,NA,NA,NA
"54","C.Baker-00-0021213",2018,NA,NA,NA,NA
"55","C.Cloherty-00-0026669",2016,NA,NA,NA,NA
"56","C.Cloherty-00-0026669",2017,NA,NA,NA,NA
"57","C.Cloherty-00-0026669",2018,NA,NA,NA,NA
"58","C.Cooley-00-0022738",2016,NA,NA,NA,NA
"59","C.Cooley-00-0022738",2017,NA,NA,NA,NA
"60","C.Cooley-00-0022738",2018,NA,NA,NA,NA
"61","C.Fitzsimmons-00-0021525",2016,NA,NA,NA,NA
"62","C.Fitzsimmons-00-0021525",2017,NA,NA,NA,NA
"63","C.Fitzsimmons-00-0021525",2018,NA,NA,NA,NA
"64","C.Morrah-00-0026963",2016,NA,NA,NA,NA
"65","C.Morrah-00-0026963",2017,NA,NA,NA,NA
"66","C.Morrah-00-0026963",2018,NA,NA,NA,NA
"67","C.Stevens-00-0026225",2016,0.0178467318054039,-0.00458895808277159,0,0.0132577737226324
"68","C.Stevens-00-0026225",2017,0.0107080390832424,-0.00275337484966296,0,0.00795466423357941
"69","C.Stevens-00-0026225",2018,0.00356934636108079,-0.000917791616554319,0,0.00265155474452647
"70","D.Clark-00-0003035",2016,NA,NA,NA,NA
