Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,ADaysSLG,HDaysSLG,Aqb_relinquished,Hqb_relinquished,Arb_relinquished,Hrb_relinquished,Awrte_relinquished,Hwrte_relinquished,Aqb_val_lost,Hqb_val_lost,Arb_val_lost,Hrb_val_lost,Awrte_val_lost,Hwrte_val_lost,Anon_key_relinquished,Hnon_key_relinquished,AZDiff,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20140904SEA,2014-09-04 20:42:00,SEA,GNB,20,32.04180117393942,35.49825020919852,0.0,0.0,0.0,0.0,0.0,0.0,265.26960019163727,260.45193065141314,40.04493336527288,39.24198844190219,0.10138605987377045,0.10720420519416018,0.0,0.0,0.0,0.0,28.506863118787695,32.3426155781559,111.79461027212002,136.72700125801333,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,-2,0.0,1,0,0,1,0,0
20140907CHI,2014-09-07 13:00:00,CHI,BUF,-3,19.35875524653606,24.881075274110252,0.0,0.0,0.0,0.0,0.0,0.0,208.78723871469455,237.62846095595938,30.631206452449092,35.43807682599323,0.2787479003555645,0.1472309274477586,0.0,0.0,0.0,0.0,30.91206226063006,28.920757784630563,127.42840469409539,114.48492560009865,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,0.0,0,1,0,1,0,0
20140907BAL,2014-09-07 13:02:00,BAL,CIN,-7,28.537746027163685,31.2393550480835,0.0,0.0,0.0,0.0,0.0,0.0,248.22762061048874,265.27062330309843,37.20460343508146,40.04510388384974,0.12547467660852432,0.10138489136513548,0.0,0.0,0.0,0.0,29.49072557495567,27.86467886000048,118.18971623721184,107.62041259000313,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0,1,0,1,0,0
20140907TAM,2014-09-07 16:25:00,TAM,CAR,-6,15.611174930974718,22.33849332516048,0.0,0.0,0.0,0.0,0.0,0.0,202.47958344445954,223.17755096468403,29.57993057407659,33.02959182744734,0.34642587781442485,0.1928121723183238,0.0,0.0,0.0,0.0,29.315699179344318,30.098005556865264,117.05204466573807,122.13703611962421,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,0.0,0,1,0,1,0,0
20140907STL,2014-09-07 13:00:00,STL,MIN,-28,21.048363713708834,13.985030734953686,0.0,0.0,0.0,0.0,0.0,0.0,216.9203855601068,197.41359983529142,31.98673092668447,28.73559997254857,0.2226599245723824,0.4303419818147529,0.0,0.0,0.0,0.0,30.45638306872111,29.14055795789819,124.4664899466872,115.91362672633822,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-2,0.0,1,0,0,0,1,0
20140907DAL,2014-09-07 16:25:00,DAL,SFO,-11,33.60209508776303,26.633296606036346,0.0,0.0,0.0,0.0,0.0,0.0,257.9652509188395,251.50934927937413,38.827541819806584,37.75155821322902,0.11047655163999105,0.11998504301749484,0.0,0.0,0.0,0.0,31.378286977134987,27.237893000523716,130.45886535137743,103.54630450340416,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2,0.0,1,0,0,0,0,1
20140907KAN,2014-09-07 13:02:00,KAN,TEN,-16,19.409073266380915,30.041036594760563,0.0,0.0,0.0,0.0,0.0,0.0,210.53285746518685,245.46916219790225,30.922142910864473,36.74486036631704,0.26445031861360313,0.13049310319552848,0.0,0.0,0.0,0.0,30.564401398618767,31.30634878738573,125.16860909102199,129.99126711800724,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,1,0,0
20140907DEN,2014-09-07 20:30:00,DEN,IND,7,30.447957112478754,41.77693334802818,0.0,0.0,0.0,0.0,0.0,0.0,248.2810605274825,307.5004554020585,37.21351008791375,47.08340923367642,0.12538126260414068,0.06870205124385068,0.0,0.0,0.0,0.0,31.007018906098004,26.91033436685398,128.04562288963703,101.41717338455086,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2,0.0,0,1,0,1,0,0
20140907PHI,2014-09-07 13:02:00,PHI,JAX,17,23.897254302734535,28.02939591241176,0.0,0.0,0.0,0.0,0.0,0.0,238.96979202392345,245.89792262342763,35.66163200398724,36.81632043723794,0.14406963283235133,0.12968687908478896,0.0,0.0,0.0,0.0,27.835627436871306,29.601756146945487,107.4315783396635,118.91141495514567,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0,0.0,0,0,1,1,0,0
20140907MIA,2014-09-07 13:03:00,MIA,NWE,13,35.265532004318715,35.7238486799104,0.0,0.0,0.0,0.0,0.0,0.0,283.20486296145725,283.14485646278916,43.03414382690954,43.024142743798194,0.0843447969494219,0.0843922557403442,0.0,0.0,0.0,0.0,27.100233834242246,27.480221952197397,102.65151992257461,105.12144268928307,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0,0.0,1,0,0,1,0,0
20140907NYJ,2014-09-07 13:02:00,NYJ,OAK,5,15.589550318136595,26.517164594684687,0.0,0.0,0.0,0.0,0.0,0.0,201.61325786243611,232.99813061034095,29.435542977072682,34.66635510172349,0.3583764420092232,0.15929730599533704,0.0,0.0,0.0,0.0,29.49091628507903,31.258591540116427,118.1909558530137,129.68084501075677,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3,0.0,1,0,0,1,0,0
20140907HOU,2014-09-07 13:03:00,HOU,WAS,11,32.00053655957461,28.48499510553756,0.0,0.0,0.0,0.0,0.0,0.0,246.85285165715027,244.50266904848883,36.97547527619171,36.58377817474814,0.1279265841825374,0.13234774643304972,0.0,0.0,0.0,0.0,32.56646221273741,30.27629185143253,138.18200438279317,123.29589703431144,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,1,0,0,0,0,1
20140907PIT,2014-09-07 13:02:00,PIT,CLE,3,15.992506862148511,31.93712369776756,0.0,0.0,0.0,0.0,0.0,0.0,205.33606362697432,276.3214752427241,30.056010604495718,41.88691254045401,0.3121091739990846,0.09016095963434487,0.0,0.0,0.0,0.0,28.985991350391185,25.96714890427537,114.9089437775427,95.28646787778989,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0.0,0,1,0,1,0,0
20140907ATL,2014-09-07 13:03:00,ATL,NOR,3,40.47508865834888,34.69940507163504,0.0,0.0,0.0,0.0,0.0,0.0,298.1381964728525,278.7807640157909,45.52303274547542,42.29679400263182,0.07398991649805199,0.08799308537244117,0.0,0.0,0.0,0.0,27.94936059937855,27.630465387132276,108.17084389596059,106.0980250163598,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,0.0,1,0,0,0,1,0
20140908DET,2014-09-08 19:11:00,DET,NYG,21,21.123726998443615,35.51877426230063,0.0,0.0,0.0,0.0,0.0,0.0,232.3334480863843,280.48244695138646,34.55557468106405,42.58040782523108,0.1611936985527993,0.08655306990618954,0.0,0.0,0.0,0.0,27.09154869066949,27.907808976199064,102.5950664893517,107.90075834529392,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,0,0,1,0
20140908ARI,2014-09-08 21:20:00,ARI,SDG,1,34.426787603064554,28.475311326659323,0.0,0.0,0.0,0.0,0.0,0.0,281.2667170160377,261.33336577646236,42.71111950267295,39.38889429607706,0.08590514484311156,0.1060903327084202,0.0,0.0,0.0,0.0,26.859937412221043,26.52838999989138,101.08959317943679,98.93453499929397,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,1,0,0,0,1
20140911BAL,2014-09-11 20:28:00,BAL,PIT,20,31.45284277332567,27.429516286062626,6.0,6.5,0.25,0.5,0.0,0.25,301.24110643204307,281.2029674773238,40.16518440534051,45.533827912887304,0.31762071972575867,0.3260386685238516,0.75,0.75,3.5,4.0,26.725361678206525,25.89850914500036,103.21485090834241,104.21530944250235,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0,1,0,1,0,0
