Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY,AZone,AZoneVal,HZone,HZoneVal,AZDiff,A_DaysSLG,A_LWAwayG,A_LWHomeG,H_DaysSLG,H_LWAwayG,H_LWHomeG,H_LWGAdv,Turf,Grass,Hybrid,Roof_Open,Roof_Fixed,Roof_Retract
20150910NWE,2015-09-10 20:40:00,NWE,PIT,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EST,3,EST,3,0,14.0,0.0,1.0,14.0,0.0,1.0,0.0,1,0,0,1,0,0
20150913NYJ,2015-09-13 13:04:00,NYJ,CLE,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EST,3,EST,3,0,14.0,0.0,1.0,14.0,0.0,1.0,0.0,1,0,0,1,0,0
20150913STL,2015-09-13 13:00:00,STL,SEA,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PST,0,CST,2,2,14.0,0.0,1.0,14.0,0.0,1.0,0.0,1,0,0,0,1,0
20150913SDG,2015-09-13 16:05:00,SDG,DET,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EST,3,PST,0,-3,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,1,0,0
20150913HOU,2015-09-13 13:02:00,HOU,KAN,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CST,2,CST,2,0,14.0,0.0,1.0,14.0,0.0,1.0,0.0,1,0,0,0,0,1
20150913JAX,2015-09-13 13:03:00,JAX,CAR,-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EST,3,EST,3,0,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,1,0,0
20150913WAS,2015-09-13 13:02:00,WAS,MIA,-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EST,3,PST,0,-3,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,1,0,0
20150913TAM,2015-09-13 16:25:00,TAM,TEN,-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CST,2,EST,3,1,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,1,0,0
20150913CHI,2015-09-13 13:00:00,CHI,GNB,-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CST,2,CST,2,0,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,1,0,0
20150913ARI,2015-09-13 16:05:00,ARI,NOR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CST,2,MST,1,-1,14.0,0.0,1.0,14.0,0.0,1.0,0.0,0,1,0,0,0,1
