Key,Datetime,Home,Away,Spread,APts,HPts,AFD,HFD,AFum,HFum,AFumL,HFumL,APY,HPY,APA,HPA,API,HPI,APS,HPS,APSY,HPSY,ARA,HRA,ARY,HRY
20170907NWE,2017-09-07 20:30:00,NWE,KAN,-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910BUF,2017-09-10 13:00:00,BUF,NYJ,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910DET,2017-09-10 13:00:00,DET,ARI,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910HOU,2017-09-10 13:00:00,HOU,JAX,-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910CLE,2017-09-10 13:00:00,CLE,PIT,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910SFO,2017-09-10 16:25:00,SFO,CAR,-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910TEN,2017-09-10 13:00:00,TEN,OAK,-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910CHI,2017-09-10 13:00:00,CHI,ATL,-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910CIN,2017-09-10 13:00:00,CIN,BAL,-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910WAS,2017-09-10 13:00:00,WAS,PHI,-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910GNB,2017-09-10 16:25:00,GNB,SEA,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910DAL,2017-09-10 20:30:00,DAL,NYG,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170910LAR,2017-09-10 16:05:00,LAR,IND,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170911MIN,2017-09-11 19:10:00,MIN,NOR,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170911DEN,2017-09-11 22:20:00,DEN,LAC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170914CIN,2017-09-14 20:25:00,CIN,HOU,-4,1.75,0.0,5.75,3.5,0.75,0.25,0.75,0.25,27.5,36.0,9.0,7.75,0.25,1.0,2.5,1.25,13.5,6.5,5.75,5.5,23.25,19.25
20170917JAX,2017-09-17 13:00:00,JAX,TEN,-21,4.0,7.25,5.25,4.75,0.0,0.25,0.0,0.0,63.75,31.25,10.25,5.25,0.0,0.0,0.25,0.0,0.25,0.0,5.25,9.75,23.75,38.75
20170917PIT,2017-09-17 13:00:00,PIT,MIN,17,7.25,5.25,5.75,4.0,0.25,0.25,0.0,0.0,85.25,63.75,8.0,9.0,0.0,0.25,0.25,0.25,1.25,2.0,7.5,4.25,32.25,8.75
20170917LAR,2017-09-17 16:25:00,LAR,WAS,-7,4.25,11.5,4.0,4.75,0.75,0.5,0.75,0.25,50.0,77.5,10.0,7.5,0.25,0.0,1.0,0.25,10.0,2.0,4.25,8.25,16.0,15.75
20170917ATL,2017-09-17 20:30:00,ATL,GNB,11,4.25,5.75,6.5,4.5,0.25,0.0,0.0,0.0,71.5,77.0,10.5,7.5,0.25,0.0,1.0,0.5,6.25,3.25,7.0,5.75,21.0,16.0
20170917BAL,2017-09-17 13:00:00,BAL,CLE,14,4.5,5.0,5.0,4.25,0.25,0.25,0.0,0.0,45.0,27.75,7.5,4.25,0.25,0.25,1.75,0.25,10.5,2.5,6.25,10.5,14.25,39.25
20170917OAK,2017-09-17 16:05:00,OAK,NYJ,25,3.0,6.5,2.75,5.5,0.5,0.75,0.0,0.0,44.0,62.5,9.75,8.0,0.5,0.0,0.25,0.5,2.75,3.0,3.75,7.25,9.5,27.25
20170917SEA,2017-09-17 16:25:00,SEA,SFO,3,0.75,2.25,3.25,3.0,0.25,0.25,0.25,0.25,41.5,33.75,8.75,6.75,0.25,0.0,1.0,0.75,6.75,5.75,3.75,4.5,12.75,22.5
20170917IND,2017-09-17 13:00:00,IND,ARI,-3,5.75,2.25,6.0,2.5,0.5,0.75,0.25,0.25,65.75,37.5,12.0,5.25,0.75,0.5,0.25,1.0,1.25,7.25,4.5,6.0,11.25,18.75
20170917CAR,2017-09-17 13:00:00,CAR,BUF,6,5.25,5.75,5.75,5.0,0.0,0.5,0.0,0.25,54.5,42.75,7.0,6.25,0.25,0.25,0.5,0.0,1.5,0.0,10.5,9.5,47.5,29.0
20170917DEN,2017-09-17 16:25:00,DEN,DAL,25,4.75,6.0,5.5,5.5,0.0,0.25,0.0,0.25,65.75,45.25,9.75,7.0,0.0,0.25,0.25,1.0,1.25,9.5,7.75,9.0,32.25,35.0
20170917NOR,2017-09-17 13:00:00,NOR,NWE,-16,6.75,4.75,6.25,4.75,0.25,0.0,0.0,0.0,61.75,71.0,9.0,9.25,0.0,0.0,0.75,0.25,5.0,1.75,8.75,5.25,31.0,15.0
20170917TAM,2017-09-17 13:00:00,TAM,CHI,22,4.25,0.0,5.0,0.0,0.5,0.0,0.0,0.0,44.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,9.25,0.0,4.75,0.0,31.25,0.0
20170917KAN,2017-09-17 13:00:00,KAN,PHI,7,7.5,10.5,4.75,6.5,0.25,0.5,0.25,0.25,74.5,88.0,9.75,8.75,0.25,0.0,0.5,0.75,2.25,4.0,6.0,6.75,14.5,46.25
20170917LAC,2017-09-17 16:05:00,LAC,MIA,-2,0.0,5.25,0.0,4.25,0.0,0.0,0.0,0.0,0.0,46.25,0.0,8.25,0.0,0.25,0.0,0.25,0.0,1.75,0.0,5.5,0.0,16.0
20170918NYG,2017-09-18 20:30:00,NYG,DET,-14,8.75,0.75,4.75,3.25,0.25,0.25,0.0,0.0,71.25,49.5,10.25,9.5,0.25,0.25,0.25,0.75,1.75,5.5,6.75,3.0,20.5,8.75
20170921SFO,2017-09-21 20:25:00,SFO,LAR,-2,13.200000000000001,2.4000000000000004,6.6000000000000005,4.800000000000001,1.0,0.2,0.4,0.2,109.0,51.0,11.0,12.4,0.2,0.4,0.6000000000000001,1.2000000000000002,4.0,7.4,11.0,6.800000000000001,32.0,42.0
20170924NWE,2017-09-24 13:00:00,NWE,HOU,3,4.0,12.600000000000001,7.4,10.8,0.6000000000000001,0.2,0.6000000000000001,0.0,41.6,136.60000000000002,12.0,15.0,0.2,0.0,2.6,1.0,16.200000000000003,6.2,11.600000000000001,13.2,52.2,48.6
20170924TEN,2017-09-24 16:05:00,TEN,SEA,6,4.2,10.600000000000001,6.6000000000000005,8.4,0.6000000000000001,0.0,0.2,0.0,63.2,93.2,13.200000000000001,13.600000000000001,0.0,0.2,1.2000000000000002,0.4,8.0,1.0,11.0,11.4,44.2,54.800000000000004
20170924GNB,2017-09-24 16:25:00,GNB,CIN,3,1.8,8.0,5.200000000000001,10.0,0.4,0.4,0.4,0.2,71.4,118.80000000000001,13.2,18.4,0.8,0.4,1.6,1.4000000000000001,7.4,12.0,9.200000000000001,8.600000000000001,31.800000000000004,28.6
20170924PHI,2017-09-24 13:00:00,PHI,NYG,3,2.6,10.0,5.4,9.200000000000001,0.4,0.8,0.0,0.4,81.2,119.4,14.0,17.0,0.4,0.4,1.6,1.6,10.600000000000001,8.600000000000001,6.0,8.200000000000001,19.4,33.0
20170924NYJ,2017-09-24 13:00:00,NYJ,MIA,14,4.75,6.4,5.25,5.6000000000000005,0.0,0.8,0.0,0.4,56.25,64.2,8.5,12.600000000000001,0.0,0.4,0.5,1.0,1.25,6.4,8.0,8.0,27.75,32.800000000000004
20170924CAR,2017-09-24 13:00:00,CAR,NOR,-21,7.800000000000001,6.4,7.800000000000001,7.800000000000001,0.2,0.4,0.0,0.2,126.4,69.80000000000001,16.4,11.4,0.0,0.2,0.4,1.2000000000000002,3.0,10.0,7.6000000000000005,13.200000000000001,28.2,38.6
20170924CHI,2017-09-24 13:00:00,CHI,PIT,6,9.4,4.800000000000001,7.6000000000000005,7.800000000000001,0.2,0.8,0.0,0.4,97.6,93.2,14.2,17.0,0.2,0.4,0.6000000000000001,1.0,3.6,9.600000000000001,9.8,7.0,27.400000000000002,29.0
20170924LAC,2017-09-24 16:25:00,LAC,KAN,-14,13.8,7.6000000000000005,8.4,8.200000000000001,0.4,0.0,0.2,0.0,116.80000000000001,101.60000000000001,12.600000000000001,14.400000000000002,0.0,0.2,1.4000000000000001,0.4,7.0,3.0,9.200000000000001,7.200000000000001,59.400000000000006,21.6
20170924WAS,2017-09-24 20:30:00,WAS,OAK,17,14.2,8.8,8.600000000000001,7.4,0.8,1.2000000000000002,0.0,0.6000000000000001,96.0,71.2,12.0,13.4,0.0,0.2,0.4,1.2000000000000002,2.4000000000000004,12.600000000000001,11.200000000000001,11.200000000000001,57.8,58.60000000000001
20170924DET,2017-09-24 13:00:00,DET,ATL,-4,11.400000000000002,11.8,7.4,6.200000000000001,0.0,0.4,0.0,0.2,106.2,80.8,11.600000000000001,12.400000000000002,0.0,0.2,1.0,0.8,8.4,2.0,10.0,11.8,41.0,44.0
20170924JAX,2017-09-24 09:30:00,JAX,BAL,37,8.8,9.0,8.200000000000001,7.800000000000001,0.4,0.6000000000000001,0.2,0.2,62.400000000000006,67.2,10.200000000000001,11.0,0.4,0.4,0.6000000000000001,0.4,5.2,2.4000000000000004,14.8,12.8,58.60000000000001,50.8
20170924IND,2017-09-24 13:00:00,IND,CLE,3,5.6,4.4,8.0,5.6,0.6000000000000001,1.2000000000000002,0.2,0.2,94.6,68.0,14.4,11.600000000000001,1.0,0.6000000000000001,2.0,1.6,9.8,11.0,9.2,10.600000000000001,30.0,30.200000000000003
20170924BUF,2017-09-24 13:00:00,BUF,DEN,10,13.200000000000001,4.800000000000001,9.600000000000001,6.6000000000000005,0.6000000000000001,0.4,0.4,0.0,76.60000000000001,65.0,12.0,10.600000000000001,0.4,0.2,1.2000000000000002,1.0,13.400000000000002,4.800000000000001,15.0,13.0,63.6,51.8
20170924MIN,2017-09-24 13:00:00,MIN,TAM,17,7.25,7.6000000000000005,5.5,7.4,0.25,0.4,0.25,0.2,48.5,97.4,7.75,14.0,0.0,0.0,0.5,0.6000000000000001,2.5,5.2,8.5,10.0,29.25,44.0
20170925ARI,2017-09-25 20:30:00,ARI,DAL,-11,7.200000000000001,7.800000000000001,7.6000000000000005,8.200000000000001,0.0,0.6000000000000001,0.0,0.2,98.2,113.80000000000001,17.8,16.8,0.4,0.8,0.6000000000000001,1.0,3.0,6.2,9.0,8.6,33.8,25.6
20170928GNB,2017-09-28 20:25:00,GNB,CHI,21,7.833333333333334,11.166666666666668,9.5,12.0,1.5,0.33333333333333337,0.5,0.16666666666666669,91.66666666666667,145.66666666666669,17.833333333333336,22.333333333333332,0.5,0.5,1.1666666666666667,2.166666666666667,10.833333333333336,15.5,12.166666666666668,10.0,61.16666666666667,34.5
20171001BAL,2017-10-01 13:00:00,BAL,PIT,-17,10.666666666666668,8.5,9.5,8.833333333333336,0.5,0.5,0.3333333333333333,0.33333333333333337,116.66666666666666,60.66666666666667,18.333333333333336,13.000000000000002,0.16666666666666669,0.6666666666666667,1.0,0.8333333333333335,6.833333333333333,6.333333333333334,11.0,16.5,34.5,71.16666666666667
20171001ATL,2017-10-01 13:00:00,ATL,BUF,-6,8.333333333333334,14.500000000000002,8.166666666666668,10.5,0.33333333333333337,0.0,0.0,0.0,87.0,134.66666666666666,13.166666666666668,15.5,0.16666666666666669,0.5,1.5,1.1666666666666667,6.666666666666668,9.833333333333334,16.333333333333336,13.0,55.666666666666664,59.333333333333336
20171001DEN,2017-10-01 16:25:00,DEN,OAK,6,13.5,13.666666666666668,8.333333333333334,11.500000000000002,0.8333333333333334,0.6666666666666667,0.16666666666666666,0.33333333333333337,96.0,106.33333333333334,15.166666666666666,16.666666666666664,0.3333333333333333,0.6666666666666667,1.0,1.5000000000000002,5.666666666666667,11.833333333333336,11.5,16.333333333333332,53.5,71.5
20171001DAL,2017-10-01 13:00:00,DAL,LAR,-5,17.833333333333336,10.666666666666668,9.833333333333334,8.833333333333334,1.3333333333333335,0.0,0.6666666666666667,0.0,139.5,110.83333333333334,13.833333333333334,17.833333333333336,0.16666666666666669,0.33333333333333337,0.5000000000000001,0.6666666666666667,3.3333333333333335,4.0,14.5,11.833333333333332,47.66666666666667,44.666666666666664
20171001SEA,2017-10-01 20:30:00,SEA,IND,28,8.833333333333332,8.0,7.333333333333334,9.5,1.166666666666667,1.0,0.33333333333333337,0.16666666666666669,97.16666666666667,113.33333333333334,13.666666666666668,19.166666666666668,0.5000000000000001,0.0,1.8333333333333335,1.166666666666667,11.833333333333334,8.166666666666668,14.833333333333336,12.833333333333334,40.5,48.333333333333336
20171001LAC,2017-10-01 16:05:00,LAC,PHI,-2,12.833333333333334,8.0,11.666666666666668,10.833333333333336,0.8333333333333334,0.0,0.5,0.0,126.33333333333334,122.33333333333334,19.333333333333336,18.666666666666668,0.33333333333333337,0.6666666666666667,1.8333333333333335,0.6666666666666667,9.666666666666668,4.333333333333333,13.333333333333336,10.333333333333334,59.666666666666664,35.333333333333336
20171001MIN,2017-10-01 13:00:00,MIN,DET,-7,14.166666666666668,12.0,8.666666666666668,10.333333333333332,0.33333333333333337,0.33333333333333337,0.16666666666666669,0.16666666666666669,109.5,142.66666666666669,17.833333333333336,17.166666666666668,0.16666666666666669,0.0,1.0,0.5000000000000001,3.5,4.333333333333334,13.0,14.5,48.5,57.5
20171001NYJ,2017-10-01 13:00:00,NYJ,JAX,3,14.833333333333332,8.666666666666668,10.5,7.333333333333334,0.5000000000000001,1.1666666666666667,0.16666666666666669,0.5,96.66666666666667,92.33333333333334,14.666666666666668,14.333333333333336,0.33333333333333337,0.33333333333333337,0.33333333333333337,1.1666666666666667,2.0000000000000004,8.0,16.5,12.333333333333332,70.0,44.5
