Team_Code,Team,Name,Seating_Capacity,Location,Playing_Surface,Turf,Grass,Hybrid,Roof_Type,Roof_Open,Roof_Fixed,Roof_Retract,Opened,2015
ARI,Arizona Cardinals,University of Phoenix Stadium,63400,"Glendale, Arizona",Tifway 419 Bermuda Grass,0,1,0,Retractable,0,0,1,2006,1
ATL,Atlanta Falcons,Georgia Dome,71228,"Atlanta, Georgia",FieldTurf,1,0,0,Fixed,0,1,0,1992,1
BAL,Baltimore Ravens,M&T Bank Stadium,71008,"Baltimore, Maryland",Tifway 419 Bermuda Grass,0,1,0,Open,1,0,0,1998,1
BUF,Buffalo Bills,New Era Field,71608,"Orchard Park, New York",A-Turf Titan 50,1,0,0,Open,1,0,0,1973,1
CAR,Carolina Panthers,Bank of America Stadium,75419,"Charlotte, North Carolina",Voyager Bermuda Grass,0,1,0,Open,1,0,0,1996,1
CHI,Chicago Bears,Soldier Field,61500,"Chicago, Illinois",Kentucky Bluegrass,0,1,0,Open,1,0,0,1924,1
CIN,Cincinnati Bengals,Paul Brown Stadium,65515,"Cincinnati, Ohio",UBU Sports Speed Series S5-M Synthetic Turf,1,0,0,Open,1,0,0,2000,1
CLE,Cleveland Browns,FirstEnergy Stadium,67895,"Cleveland, Ohio",Kentucky Bluegrass,0,1,0,Open,1,0,0,1999,1
DAL,Dallas Cowboys,AT&T Stadium,80000,"Arlington, Texas",Matrix RealGrass Artificial Turf,1,0,0,Retractable,0,0,1,2009,1
DEN,Denver Broncos,Sports Authority Field at Mile High,76125,"Denver, Colorado",Kentucky Bluegrass,0,1,0,Open,1,0,0,2001,1
DET,Detroit Lions,Ford Field,65000,"Detroit, Michigan",FieldTurf Classic HD,1,0,0,Fixed,0,1,0,2002,1
GNB,Green Bay Packers,Lambeau Field,81435,"Green Bay, Wisconsin",Desso GrassMaster,0,0,1,Open,1,0,0,1957,1
HOU,Houston Texans,NRG Stadium,72220,"Houston, Texas",UBU Sports Speed Series S5-M Synthetic Turf,1,0,0,Retractable,0,0,1,2002,1
IND,Indianapolis Colts,Lucas Oil Stadium,67000,"Indianapolis, Indiana",FieldTurf Classic HD,1,0,0,Retractable,0,0,1,2008,1
JAX,Jacksonville Jaguars,TIAA Bank Field,67246,"Jacksonville, Florida",Tifway 419 Bermuda Grass,0,1,0,Open,1,0,0,1995,1
KAN,Kansas City Chiefs,Arrowhead Stadium,76416,"Kansas City, Missouri",Latitude 36 Bermuda Grass,0,1,0,Open,1,0,0,1972,1
LAC,Los Angeles Chargers,StubHub Center,27000,"Carson, California",Bandera Bermuda Grass,0,1,0,Open,1,0,0,2003,1
LAR,Los Angeles Rams,Los Angeles Memorial Coliseum,93607,"Los Angeles, California",Santa Ana Bermuda Grass,0,1,0,Open,1,0,0,1923,1
MIA,Miami Dolphins,Hard Rock Stadium,65326,"Miami Gardens, Florida",Platinum TE Paspalum,1,0,0,Open,1,0,0,1987,1
MIN,Minnesota Vikings,TCF Bank Stadium,50805,"Minneapolis, Minnesota",FieldTurf Revolution,1,0,0,Open,1,0,0,2009,1
NOR,New Orleans Saints,Mercedes-Benz Superdome,73208,"New Orleans, Louisiana",UBU Sports Speed Series S5-M Synthetic Turf,1,0,0,Fixed,0,1,0,1975,1
NWE,New England Patriots,Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf Revolution,1,0,0,Open,1,0,0,2002,1
NYG,New York Giants,MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf,1,0,0,Open,1,0,0,2010,1
NYJ,New York Jets,MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf,1,0,0,Open,1,0,0,2010,1
OAK,Oakland Raiders,Oakland_Alameda County Coliseum,53286,"Oakland, California",Tifway II Bermuda Grass,0,1,0,Open,1,0,0,1966,1
PHI,Philadelphia Eagles,Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",Desso GrassMaster,0,0,1,Open,1,0,0,2003,1
PIT,Pittsburgh Steelers,Heinz Field,68400,"Pittsburgh, Pennsylvania",Kentucky Bluegrass,0,1,0,Open,1,0,0,2001,1
SDG,San Diego Chargers,SDCCU Stadium,70561,"San Diego, California",Bandera Bermuda Grass,0,1,0,Open,1,0,0,1967,1
SEA,Seattle Seahawks,CenturyLink Field,68000,"Seattle, Washington",FieldTurf Revolution,1,0,0,Open,1,0,0,2002,1
SFO,San Francisco 49ers,Levi's Stadium,68500,"Santa Clara, California",Tifway II Bermuda Grass Perennial Ryegrass Mix,0,1,0,Open,1,0,0,2014,1
STL,St. Louis Rams,The Dome at America's Center,70000,"St. Louis, Missouri",AstroTurf GameDay Grass 3D,1,0,0,Fixed,0,1,0,1995,1
TAM,Tampa Bay Buccaneers,Raymond James Stadium,65890,"Tampa, Florida",Tifway 419 Bermuda Grass,0,1,0,Open,1,0,0,1998,1
TEN,Tennessee Titans,Nissan Stadium,69143,"Nashville, Tennessee",TifSport Bermuda Grass,0,1,0,Open,1,0,0,1999,1
WAS,Washington Redskins,FedExField,82000,"Landover, Maryland",Latitude 36 Bermuda Grass,0,1,0,Open,1,0,0,1997,1
