Team_Code,Team_Zone,Zone_Value,Team
ARI,MST,1,Arizona Cardinals
ATL,EST,3,Atlanta Falcons
BAL,EST,3,Baltimore Ravens
BUF,EST,3,Buffalo Bills
CAR,EST,3,Carolina Panthers
CHI,CST,2,Chicago Bears
CIN,EST,3,Cincinnati Bengals
CLE,EST,3,Cleveland Browns
DAL,CST,2,Dallas Cowboys
DEN,MST,1,Denver Broncos
DET,EST,3,Detroit Lions
GNB,CST,2,Green Bay Packers
HOU,CST,2,Houston Texans
IND,EST,3,Indianapolis Colts
JAX,EST,3,Jacksonville Jaguars
KAN,CST,2,Kansas City Chiefs
STL,PST,0,St. Louis Rams
MIA,EST,3,Miami Dolphins
MIN,CST,2,Minnesota Vikings
NOR,CST,2,New Orleans Saints
NWE,EST,3,New England Patriots
NYG,EST,3,New York Giants
NYJ,EST,3,New York Jets
OAK,PST,0,Oakland Raiders
PHI,EST,3,Philadelphia Eagles
PIT,EST,3,Pittsburgh Steelers
SDG,PST,0,San Diego Chargers
SEA,PST,0,Seattle Seahawks
SFO,PST,0,San Francisco 49ers
TAM,EST,3,Tampa Bay Buccaneers
TEN,CST,2,Tennessee Titans
WAS,PST,0,Washington Redskins
