Team_Code,Team_Zone,Zone_Value,Team
CHI,CST,2,Chicago Bears
DAL,CST,2,Dallas Cowboys
GNB,CST,2,Green Bay Packers
HOU,CST,2,Houston Texans
KAN,CST,2,Kansas City Chiefs
MIN,CST,2,Minnesota Vikings
NOR,CST,2,New Orleans Saints
TEN,CST,2,Tennessee Titans
ATL,EST,3,Atlanta Falcons
BAL,EST,3,Baltimore Ravens
BUF,EST,3,Buffalo Bills
CAR,EST,3,Carolina Panthers
CIN,EST,3,Cincinnati Bengals
CLE,EST,3,Cleveland Browns
DET,EST,3,Detroit Lions
IND,EST,3,Indianapolis Colts
JAX,EST,3,Jacksonville Jaguars
MIA,EST,3,Miami Dolphins
NWE,EST,3,New England Patriots
NYG,EST,3,New York Giants
NYJ,EST,3,New York Jets
PHI,EST,3,Philadelphia Eagles
PIT,EST,3,Pittsburgh Steelers
TAM,EST,3,Tampa Bay Buccaneers
ARI,MST,1,Arizona Cardinals
DEN,MST,1,Denver Broncos
LAC,PST,0,Los Angeles Chargers
LAR,PST,0,Los Angeles Rams
OAK,PST,0,Oakland Raiders
SFO,PST,0,San Francisco 49ers
SEA,PST,0,Seattle Seahawks
WAS,PST,0,Washington Redskins
